timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
788139189,788138996,-0.272683,0.274866,0.0006603,0.1,0.0,0.0,0.0,-1.0
788239981,788239796,-0.27268,0.274824,0.000606199,0.1,0.0,0.0,0.0,-1.0
788339987,788339801,-0.272798,0.274966,0.00046508,0.1,0.0,0.0,0.0,-1.0
788443988,788443808,-0.27259,0.274905,0.000398651,0.1,0.0,0.0,0.0,-1.0
788543975,788543796,-0.272756,0.274735,0.000632802,0.1,0.0,0.0,0.0,-1.0
788644782,788644596,-0.272783,0.274913,-0.000216573,0.1,0.0,0.0,0.0,-1.0
788748773,788748596,-0.272684,0.274815,0.000851955,0.1,0.0,0.0,0.0,-1.0
788848776,788848596,-0.272435,0.274758,-0.000567263,0.1,0.0,0.0,0.0,-1.0
788952767,788952603,-0.272661,0.274727,-0.00107793,0.1,0.0,0.0,0.0,-1.0
789052767,789052601,-0.279076,0.268719,0.000503013,0.1,0.0,0.0,0.0,-1.0
789152782,789152610,0.0115962,0.00902842,0.00208669,0.1,0.0,0.0,0.0,-1.0
789253574,789253396,0.00603344,0.000549386,0.0129704,0.104915,0.0,0.0,0.0,-1.0
789357559,789357396,0.00202131,0.000823211,0.00374712,0.103926,0.0,0.0,0.0,-1.0
789457563,789457396,0.00136028,0.000397869,-0.00760093,0.103926,0.0,0.0,0.0,-1.0
789561570,789561396,0.00122117,0.00034146,-0.000918328,0.101969,0.0,0.0,0.0,-1.0
789662379,789662214,0.00231636,0.000930196,0.0112579,0.101963,0.0,0.0,0.0,-1.0
789762377,789762196,0.00146939,0.000368499,0.0129748,0.101963,0.0,0.0,0.0,-1.0
789866380,789866196,0.00264005,0.000591262,-0.00295476,0.101889,0.0,0.0,0.0,-1.0
789966382,789966196,0.00277145,0.000626062,-0.0143618,0.101963,0.0,0.0,0.0,-1.0
790066379,790066197,-0.00142471,0.000306351,0.00500325,0.109059,0.0,0.0,0.0,-1.0
790167190,790166996,0.00301826,0.000562569,0.00940091,0.108834,0.0,0.0,0.0,-1.0
790271228,790271045,0.00146498,0.000858544,-0.0118892,0.108834,0.0,0.0,0.0,-1.0
