timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
788139274,8,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788240069,8,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788344060,8,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788448065,8,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,1047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788548044,8,1249.0,1249.0,1075.0,1075.0,1249.0,1249.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788648847,8,1249.0,1249.0,1075.0,1075.0,1249.0,1249.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788752853,8,1249.0,1249.0,1075.0,1075.0,1249.0,1249.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788852848,8,1249.0,1249.0,1075.0,1075.0,1249.0,1249.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788952845,8,1249.0,1249.0,1075.0,1075.0,1249.0,1249.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789056850,8,1249.0,1249.0,1075.0,1075.0,1249.0,1249.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789156869,8,1154.0,1168.0,1168.0,1155.0,1168.0,1155.0,1155.0,1169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789257654,8,1172.0,1159.0,1178.0,1153.0,1178.0,1153.0,1172.0,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789361663,8,1170.0,1161.0,1172.0,1158.0,1172.0,1158.0,1169.0,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789461655,8,1158.0,1172.0,1159.0,1170.0,1160.0,1170.0,1158.0,1172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789561648,8,1162.0,1165.0,1163.0,1163.0,1163.0,1163.0,1161.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789666465,8,1171.0,1157.0,1173.0,1153.0,1174.0,1154.0,1170.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789766472,8,1171.0,1156.0,1173.0,1153.0,1173.0,1154.0,1170.0,1156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789866459,8,1159.0,1168.0,1162.0,1164.0,1163.0,1164.0,1159.0,1167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789970459,8,1152.0,1175.0,1154.0,1171.0,1155.0,1172.0,1151.0,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790070462,8,1176.0,1163.0,1174.0,1165.0,1174.0,1165.0,1176.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790171299,8,1175.0,1164.0,1178.0,1159.0,1179.0,1160.0,1174.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790275255,8,1159.0,1180.0,1160.0,1178.0,1161.0,1178.0,1158.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790375255,8,1175.0,1164.0,1176.0,1162.0,1177.0,1162.0,1175.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790475274,8,1193.0,1200.0,1195.0,1196.0,1196.0,1197.0,1192.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
