timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
788138996,32767,32767,32767,32767,32767,-83,32767
788143004,32767,32767,32767,32767,32767,32767,32767
788146996,32767,32767,32767,32767,-50,32767,32767
788151030,32767,32767,32767,32767,32767,32767,32767
788154997,32767,32767,32767,32767,32767,32767,32767
788159799,32767,32767,32767,32767,-61,-70,32767
788163796,32767,32767,32767,32767,32767,32767,32767
788167798,32767,32767,32767,32767,32767,32767,32767
788171798,32767,32767,32767,32767,-72,32767,32767
788175796,32767,32767,32767,32767,32767,32767,32767
788179796,32767,32767,32767,32767,32767,-50,32767
788183796,32767,32767,32767,32767,32767,32767,32767
788187796,32767,32767,32767,32767,32767,32767,32767
788191796,32767,32767,32767,32767,-58,32767,32767
788195797,32767,32767,32767,32767,32767,32767,32767
788199796,32767,32767,32767,32767,32767,32767,32767
788203796,32767,32767,32767,32767,-70,-81,32767
788207810,32767,32767,-102,32767,32767,32767,32767
788211796,32767,32767,32767,32767,32767,32767,32767
788215796,32767,32767,32767,32767,-65,32767,32767
788219796,32767,32767,32767,32767,32767,32767,32767
788223796,32767,32767,32767,32767,32767,-51,32767
788227796,32767,32767,32767,32767,32767,32767,32767
788231796,32767,32767,32767,32767,32767,32767,32767
788235799,32767,32767,32767,32767,-58,32767,32767
788239796,32767,32767,32767,32767,32767,32767,32767
788243800,32767,32767,32767,32767,32767,32767,32767
788247796,32767,32767,32767,32767,-59,-68,32767
788251796,32767,32767,32767,32767,32767,32767,32767
788255796,32767,32767,32767,32767,32767,32767,32767
788259796,32767,32767,32767,32767,-67,32767,32767
788263796,32767,32767,32767,32767,32767,32767,32767
788267796,32767,32767,32767,32767,32767,-51,32767
788271796,32767,32767,32767,32767,32767,32767,32767
788275796,32767,32767,32767,32767,32767,32767,32767
788279796,32767,32767,32767,32767,-58,32767,32767
788283796,32767,32767,32767,32767,32767,32767,32767
788287797,32767,32767,32767,32767,32767,32767,32767
788291796,32767,32767,32767,32767,-61,-70,32767
788295796,32767,32767,32767,32767,32767,32767,32767
788299797,32767,32767,32767,32767,32767,32767,32767
788303796,32767,32767,32767,32767,-62,32767,32767
788307798,32767,32767,32767,32767,32767,32767,32767
788311796,32767,32767,32767,32767,32767,32767,32767
788315796,32767,32767,32767,32767,32767,-82,32767
788319797,32767,32767,32767,32767,32767,32767,32767
788323796,32767,32767,32767,32767,-46,32767,32767
788327796,32767,32767,32767,32767,32767,32767,32767
788331796,32767,32767,32767,32767,32767,32767,32767
788335796,32767,32767,32767,32767,-60,-69,32767
788339801,32767,32767,32767,32767,32767,32767,32767
788343797,32767,32767,32767,32767,32767,32767,32767
788347796,32767,32767,32767,32767,-72,32767,32767
788351805,32767,32767,32767,32767,32767,32767,32767
788355796,32767,32767,32767,32767,32767,-51,32767
788359796,32767,32767,32767,32767,32767,32767,32767
788363797,32767,32767,32767,32767,32767,32767,32767
788367796,32767,32767,32767,32767,-62,32767,32767
788371799,32767,32767,32767,32767,32767,32767,32767
788375796,32767,32767,32767,32767,32767,32767,32767
788379796,32767,32767,32767,32767,-72,-82,32767
788383796,32767,32767,32767,32767,32767,32767,32767
788387796,32767,32767,32767,32767,-58,32767,32767
788391812,32767,32767,32767,32767,32767,32767,32767
788395801,32767,32767,32767,32767,32767,32767,32767
788399796,32767,32767,32767,32767,32767,-69,32767
788403796,32767,32767,-61,32767,32767,32767,32767
788407796,32767,32767,32767,32767,32767,32767,32767
788411796,32767,32767,32767,32767,-67,32767,32767
788415797,32767,32767,32767,32767,32767,32767,32767
788419796,32767,32767,32767,32767,32767,32767,32767
788423796,32767,32767,32767,32767,-68,-81,32767
788427796,32767,32767,32767,32767,32767,32767,32767
788431796,32767,32767,32767,32767,32767,32767,32767
788435796,32767,32767,32767,32767,-72,32767,32767
788439796,32767,32767,32767,32767,32767,32767,32767
788443808,32767,32767,32767,32767,32767,-52,32767
788447796,32767,32767,32767,32767,32767,32767,32767
788451796,32767,32767,32767,32767,32767,32767,32767
788455796,32767,32767,32767,32767,-66,32767,32767
788459797,32767,32767,32767,32767,32767,32767,32767
788463796,32767,32767,32767,32767,32767,32767,32767
788467798,32767,32767,32767,32767,-70,-81,32767
788471796,32767,32767,32767,32767,32767,32767,32767
788475796,32767,32767,32767,32767,32767,32767,32767
788479796,32767,32767,32767,32767,-68,32767,32767
788483796,32767,32767,32767,32767,32767,32767,32767
788487808,32767,32767,32767,32767,32767,-52,32767
788491796,32767,32767,32767,32767,32767,32767,32767
788495796,32767,32767,32767,32767,32767,32767,32767
788499796,32767,32767,32767,32767,-58,32767,32767
788503796,32767,32767,32767,32767,32767,32767,32767
788507796,32767,32767,32767,32767,32767,32767,32767
788511796,32767,32767,32767,32767,-60,-69,32767
788515797,32767,32767,32767,32767,32767,32767,32767
788519796,32767,32767,32767,32767,32767,32767,32767
788523796,32767,32767,32767,32767,-72,32767,32767
788527796,32767,32767,32767,32767,32767,32767,32767
788531796,32767,32767,32767,32767,32767,-61,32767
788535796,32767,32767,32767,32767,32767,32767,32767
788539796,32767,32767,32767,32767,32767,32767,32767
788543796,32767,32767,32767,32767,-65,32767,32767
788547796,32767,32767,32767,32767,32767,32767,32767
788551796,32767,32767,32767,32767,-41,-50,32767
788555796,32767,32767,32767,32767,32767,32767,32767
788559796,32767,32767,32767,32767,32767,32767,32767
788563797,32767,32767,32767,32767,-48,32767,32767
