timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
788136746,788136746,18,255,0,0,0,1102,1927,1927,1927,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
788340561,788340561,18,255,0,0,0,1102,1927,1927,1927,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
788540769,788540769,18,255,0,0,0,1102,1927,1927,1927,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
788742026,788742026,18,255,0,0,0,1102,1927,1927,1927,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
788949685,788949685,18,255,0,0,0,1102,1927,1927,1927,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
789150674,789150674,18,255,0,0,0,1518,1512,1927,1747,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
789351218,789351218,18,255,0,0,0,1517,1507,1913,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
789558455,789558455,18,255,0,0,0,1517,1507,1915,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
789757594,789757594,18,255,0,0,0,1517,1507,1915,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
789961165,789961165,18,255,0,0,0,1517,1507,1915,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
790164724,790164724,18,255,0,0,0,1517,1507,1908,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
790369680,790369680,18,255,0,0,0,1517,1507,1908,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
790569594,790569594,18,255,0,0,0,1517,1507,1877,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
790774677,790774677,18,255,0,0,0,1517,1507,1848,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
790974667,790974667,18,255,0,0,0,1517,1507,1845,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
791178655,791178655,18,255,0,0,0,1517,1507,1849,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
791382660,791382660,18,255,0,0,0,1517,1507,1850,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
791581186,791581186,18,255,0,0,0,1517,1507,1848,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
791787609,791787609,18,255,0,0,0,1517,1507,1843,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
791982534,791982534,18,255,0,0,0,1517,1507,1813,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
792188699,792188699,18,255,0,0,0,1517,1507,1811,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
792391721,792391721,18,255,0,0,0,1517,1507,1814,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
792593928,792593928,18,255,0,0,0,1517,1507,1815,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
792796745,792796745,18,255,0,0,0,1517,1507,1815,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
793000728,793000728,18,255,0,0,0,1517,1507,1812,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
793204497,793204497,18,255,0,0,0,1516,1507,1782,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
793403552,793403552,18,255,0,0,0,1517,1507,1780,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
793600782,793600782,18,255,0,0,0,1517,1507,1782,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
793810346,793810346,18,255,0,0,0,1517,1507,1782,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
794009965,794009965,18,255,0,0,0,1517,1507,1783,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
794215959,794215959,18,255,0,0,0,1517,1507,1783,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
794412487,794412487,18,255,0,0,0,1517,1507,1778,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
794618521,794618521,18,255,0,0,0,1517,1507,1762,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
794819945,794819945,18,255,0,0,0,1517,1507,1746,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
795021152,795021152,18,255,0,0,0,1517,1507,1741,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
795225601,795225601,18,255,0,0,0,1516,1507,1735,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
795429678,795429678,18,255,0,0,0,1516,1506,1714,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
795631770,795631770,18,255,0,0,0,1517,1507,1712,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
795832589,795832589,18,255,0,0,0,1517,1506,1708,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
796037556,796037556,18,255,0,0,0,1516,1506,1703,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
796240455,796240455,18,255,0,0,0,1517,1506,1683,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
796441595,796441595,18,255,0,0,0,1515,1489,1683,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
796647151,796647151,18,255,0,0,0,1515,1475,1683,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
796851646,796851646,18,255,0,0,0,1515,1462,1682,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
797051594,797051594,18,255,0,0,0,1515,1453,1679,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
797255177,797255177,18,255,0,0,0,1515,1450,1676,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
797460727,797460727,18,255,0,0,0,1515,1455,1664,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
797664364,797664364,18,255,0,0,0,1515,1450,1650,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
797862668,797862668,18,255,0,0,0,1515,1433,1649,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
798068749,798068749,18,255,0,0,0,1515,1430,1645,1514,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
798271942,798271942,18,255,0,0,0,1516,1427,1643,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
798471595,798471595,18,255,0,0,0,1517,1417,1630,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
798674659,798674659,18,255,0,0,0,1516,1453,1632,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
798877662,798877662,18,255,0,0,0,1514,1507,1629,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
799083960,799083960,18,255,0,0,0,1517,1510,1625,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
799283949,799283949,18,255,0,0,0,1515,1508,1613,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
799486519,799486519,18,255,0,0,0,1513,1507,1603,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
799690707,799690707,18,255,0,0,0,1501,1508,1600,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
799891241,799891241,18,255,0,0,0,1504,1509,1600,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
800097646,800097646,18,255,0,0,0,1507,1510,1600,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
800298900,800298900,18,255,0,0,0,1488,1510,1593,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
800501115,800501115,18,255,0,0,0,1471,1510,1589,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
800704158,800704158,18,255,0,0,0,1478,1512,1588,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
800909765,800909765,18,255,0,0,0,1487,1512,1586,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
801109144,801109144,18,255,0,0,0,1490,1513,1584,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
801313363,801313363,18,255,0,0,0,1497,1521,1584,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
801518107,801518107,18,255,0,0,0,1507,1527,1585,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
801721597,801721597,18,255,0,0,0,1508,1539,1585,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
801923546,801923546,18,255,0,0,0,1510,1534,1585,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
802126842,802126842,18,255,0,0,0,1509,1534,1585,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
802327646,802327646,18,255,0,0,0,1508,1534,1584,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
802535284,802535284,18,255,0,0,0,1508,1530,1584,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
802736726,802736726,18,255,0,0,0,1503,1531,1584,1515,961,961,961,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,9
