timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
788138996,-0.00110707,0.000888783,-0.000587573,3999,0,-0.00978651,-0.00567672,-9.87557,3999
788143004,-4.81368e-05,0.00112306,0.00090151,4008,0,0.00162482,-0.00547881,-9.89727,4008
788146996,-0.000797552,0.000269301,0.000804114,3992,0,0.000671184,0.0118521,-9.88858,3992
788151030,-0.00068071,0.000679665,-0.00037343,4034,0,-0.00388255,0.0305591,-9.85601,4034
788154997,-0.000900624,0.000789853,-5.46399e-05,3967,0,-0.002655,0.0227797,-9.85114,3967
788159799,-0.000689188,-0.000790314,0.000943001,4802,0,-0.00665475,0.0123859,-9.86077,4802
788163796,-0.000365665,0.00216795,-0.000498378,3997,0,-0.00884636,0.03728,-9.88282,3997
788167798,0.000484601,0.00142814,-5.89804e-05,4002,0,-0.0106417,0.0372305,-9.88566,4002
788171798,0.000377904,-0.00102201,-0.000237409,4000,0,-0.00033272,0.0189856,-9.85701,4000
788175796,-0.00122273,-4.57811e-05,0.000914205,3998,0,-0.00623243,0.0220139,-9.84574,3998
788179796,-0.00196727,0.000594698,0.00122171,4000,0,-0.0143063,0.0235217,-9.87461,4000
788183796,-0.00111702,0.000912108,0.00100643,4000,0,-0.0102883,0.0185431,-9.8552,4000
788187796,-0.00164372,-0.000167716,-4.3741e-05,4000,0,-0.00484432,0.0170418,-9.85938,4000
788191796,-0.00238924,-0.000275756,-0.000150372,4000,0,-0.00397161,0.0276623,-9.85197,4000
788195797,-0.000475218,0.000254105,-5.28018e-05,4001,0,0.0109864,0.0265372,-9.86326,4001
788199796,-0.000367858,0.00153589,0.000259315,3999,0,0.0240959,0.0498223,-9.8659,3999
788203796,-0.00143086,0.000151785,-4.74069e-05,4000,0,-0.0210904,0.0225568,-9.87557,4000
788207810,0.000169983,-0.00135065,-0.000766742,4014,0,-0.0106337,0.0247494,-9.88692,4014
788211796,0.00122904,0.000579602,-0.000149523,3986,0,0.00207649,0.0233531,-9.88819,3986
788215796,0.000162723,0.00111961,0.00068853,4000,0,-0.00528288,0.0256027,-9.86327,4000
788219796,-0.00164043,0.000776173,-0.00101459,4000,0,-0.0075269,0.0202309,-9.87077,4000
788223796,-0.000470457,0.00120714,-0.00069702,4000,0,-0.0165814,0.0298222,-9.86858,4000
788227796,-0.00143344,0.00079133,4.78389e-05,4000,0,-0.0206212,0.0148764,-9.87688,4000
788231796,-0.000156414,0.000363854,6.04739e-05,4000,0,-0.0234021,0.0125398,-9.87028,4000
788235799,-0.000578588,0.000785334,-0.000372944,4003,0,-0.0298231,0.0317155,-9.83559,4003
788239796,-0.000153628,0.00100164,-5.51069e-05,3997,0,-0.0070667,0.0316033,-9.87705,3997
788243800,-0.000151034,0.000579667,0.000159805,4004,0,-0.0296611,0.0291126,-9.88606,4004
788247796,0.000908623,0.000478634,0.00048859,3996,0,-0.00475467,0.0391851,-9.8833,3996
788251796,0.000376269,0.000901813,0.000481331,4000,0,-0.00934706,0.0288288,-9.87138,4000
788255796,-0.000368219,0.000157672,0.000381708,4000,0,-0.0048135,0.0279071,-9.86898,4000
788259796,0.00059081,0.00142806,-5.86182e-05,4000,0,0.00426507,0.0302057,-9.87559,4000
788263796,-0.000579049,0.00206845,0.000139895,4000,0,-0.00615346,0.0369718,-9.86963,4000
788267796,-0.00142662,0.000891362,-0.00059255,4000,0,-0.0278454,0.0344392,-9.88143,4000
788271796,-0.00121826,0.000682112,-5.41916e-05,4000,0,-0.015164,0.0371548,-9.8918,4000
788275796,-0.00121685,3.90875e-05,-0.000470688,4000,0,-0.00886273,0.0354479,-9.87666,4000
788279796,-0.000262336,0.000474078,-4.80105e-05,4000,0,-0.0124863,0.0378914,-9.86961,4000
788283796,-4.83315e-05,0.00089901,0.000159569,4000,0,-0.0120851,0.0141344,-9.8622,4000
788287797,-0.0012203,5.04868e-05,0.000274889,4001,0,-0.0161326,0.0150443,-9.86552,4001
788291796,-0.0017509,0.00175054,0.000141807,3999,0,-0.0161037,0.0249143,-9.87747,3999
788295796,-0.000689038,0.000699238,0.000800687,4000,0,-0.00752221,0.0173462,-9.86931,4000
788299797,-0.00196621,0.001761,0.000885937,4001,0,-0.0183806,0.00153262,-9.87384,4001
788303796,-4.80747e-05,0.000154105,0.000170162,3999,0,-0.0102279,0.0201642,-9.8755,3999
788307798,-0.000366661,0.000364022,-4.68068e-05,4002,0,0.00420959,0.00841411,-9.86064,4002
788311796,0.000374874,0.00176065,0.000893391,3998,0,-0.00258151,0.00364388,-9.85966,3998
788315796,-0.000157493,0.00112428,0.00100748,4000,0,-0.041471,0.0230539,-9.87375,4000
788319797,-0.00164562,0.00133382,0.000786527,4001,0,-0.0192652,0.0185398,-9.8892,4001
788323796,-0.00100622,0.00057999,0.000160892,3999,0,0.0101248,0.0293683,-9.86706,3999
788327796,-0.000474577,-0.000482565,0.000284106,4000,0,-0.0157273,0.0381552,-9.85452,4000
788331796,-0.000365768,-0.00134289,-0.000342086,4000,0,-0.0210617,0.0362853,-9.8852,4000
