timestamp,status,noutputs,controls[0],controls[1],controls[2],controls[3],controls[4],controls[5],controls[6],controls[7],output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],pwm_limited[0],pwm_limited[1],pwm_limited[2],pwm_limited[3],pwm_limited[4],pwm_limited[5],pwm_limited[6],pwm_limited[7],delta[0],delta[1],delta[2],delta[3],delta[4],delta[5],delta[6],delta[7]
788139260,1,8,-0.272683,0.274866,0.0006603,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788143272,1,8,-0.272678,0.274828,0.000608914,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788147243,1,8,-0.272721,0.274809,0.000489193,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,941.0,941.0,941.0,941.0,941.0,941.0,941.0,941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788151315,1,8,-0.272704,0.274826,0.000454513,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,943.0,943.0,943.0,943.0,943.0,943.0,943.0,943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788155261,1,8,-0.27269,0.274831,0.000499049,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788160059,1,8,-0.272671,0.274889,0.000479787,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788164062,1,8,-0.272688,0.274901,0.000475,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788168055,1,8,-0.272723,0.274802,0.000533696,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,949.0,949.0,949.0,949.0,949.0,949.0,949.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788172049,1,8,-0.272801,0.274819,0.000580001,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788176051,1,8,-0.272795,0.274876,0.000557228,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,952.0,952.0,952.0,952.0,952.0,952.0,952.0,952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788180075,1,8,-0.272724,0.27492,0.000447202,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,953.0,953.0,953.0,953.0,953.0,953.0,953.0,953.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788184051,1,8,-0.272629,0.274893,0.000337386,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788188055,1,8,-0.272595,0.274883,0.000357593,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788192053,1,8,-0.272535,0.274911,0.000423735,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788196056,1,8,-0.272527,0.274939,0.000540421,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,959.0,959.0,959.0,959.0,959.0,959.0,959.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788200044,1,8,-0.272585,0.274904,0.000554291,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788204053,1,8,-0.272631,0.274853,0.000562335,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788208085,1,8,-0.272652,0.274892,0.000593562,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,963.0,963.0,963.0,963.0,963.0,963.0,963.0,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788212050,1,8,-0.272751,0.274955,0.000642886,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788216068,1,8,-0.27283,0.27491,0.000615122,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,966.0,966.0,966.0,966.0,966.0,966.0,966.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788220044,1,8,-0.272793,0.274873,0.000581381,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,967.0,967.0,967.0,967.0,967.0,967.0,967.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788224044,1,8,-0.272739,0.274818,0.000638812,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788228063,1,8,-0.272663,0.274793,0.000673844,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,970.0,970.0,970.0,970.0,970.0,970.0,970.0,970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788232055,1,8,-0.272638,0.274812,0.000634093,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788236056,1,8,-0.27266,0.274829,0.000609485,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,973.0,973.0,973.0,973.0,973.0,973.0,973.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788240055,1,8,-0.27268,0.274824,0.000606199,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788244068,1,8,-0.272717,0.274815,0.000581174,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788248046,1,8,-0.272769,0.274835,0.000551017,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,977.0,977.0,977.0,977.0,977.0,977.0,977.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788252054,1,8,-0.272823,0.274852,0.000479506,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788256033,1,8,-0.272825,0.274847,0.000438812,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788260051,1,8,-0.272823,0.274845,0.000456978,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,981.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788264053,1,8,-0.272807,0.274777,0.000473315,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788268050,1,8,-0.272748,0.274721,0.00055434,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,984.0,984.0,984.0,984.0,984.0,984.0,984.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788272043,1,8,-0.27266,0.274738,0.000603588,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788276048,1,8,-0.272621,0.274794,0.000645049,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788280046,1,8,-0.272612,0.274829,0.000649559,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788284047,1,8,-0.272672,0.274845,0.000624114,0.1,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
