timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
788120750,231.171,37.63,98579.0,1.17128
788141908,231.512,37.63,98575.0,1.17123
788153675,231.34,37.63,98577.0,1.17126
788164569,231.428,37.63,98576.0,1.17125
788185926,231.256,37.63,98578.0,1.17127
788196777,231.512,37.63,98575.0,1.17123
788209292,231.087,37.63,98580.0,1.17129
788229913,231.34,37.63,98577.0,1.17126
788241893,231.34,37.63,98577.0,1.17126
788253090,231.428,37.63,98576.0,1.17125
788273913,231.428,37.63,98576.0,1.17125
788285600,231.171,37.63,98579.0,1.17128
788297560,230.999,37.63,98581.0,1.17131
788319144,231.34,37.63,98577.0,1.17126
788329751,231.428,37.63,98576.0,1.17125
788340527,231.597,37.63,98574.0,1.17122
788361552,231.34,37.63,98577.0,1.17126
788372535,231.087,37.63,98580.0,1.17129
788381952,231.428,37.63,98576.0,1.17125
788405089,231.087,37.64,98580.0,1.17129
788416930,231.428,37.64,98576.0,1.17125
788428535,231.428,37.64,98576.0,1.17125
788449165,230.999,37.63,98581.0,1.17131
788460748,231.171,37.63,98579.0,1.17128
788472974,231.171,37.63,98579.0,1.17128
788493901,231.087,37.63,98580.0,1.17129
788505789,231.428,37.63,98576.0,1.17125
788516508,231.597,37.63,98574.0,1.17122
788537294,231.34,37.63,98577.0,1.17126
788547612,230.915,37.63,98582.0,1.17132
788558959,231.34,37.63,98577.0,1.17126
788579948,231.171,37.64,98579.0,1.17128
788591574,231.087,37.64,98580.0,1.17129
788601603,231.256,37.64,98578.0,1.17127
788622374,231.512,37.63,98575.0,1.17123
788632460,231.34,37.63,98577.0,1.17126
788641912,231.597,37.63,98574.0,1.17122
788662060,231.512,37.64,98575.0,1.17123
788674814,231.512,37.64,98575.0,1.17123
788686056,231.171,37.64,98579.0,1.17128
788710347,231.256,37.63,98578.0,1.17127
788721586,231.256,37.63,98578.0,1.17127
788734140,231.428,37.63,98576.0,1.17125
788753969,231.087,37.63,98580.0,1.17129
788765931,231.087,37.63,98580.0,1.17129
788775961,231.512,37.63,98575.0,1.17123
788798979,231.428,37.64,98576.0,1.17125
788809946,231.171,37.64,98579.0,1.17128
788821721,231.512,37.64,98575.0,1.17123
788845868,231.256,37.63,98578.0,1.17127
788858030,231.087,37.63,98580.0,1.17129
788869889,231.171,37.63,98579.0,1.17128
788893968,230.999,37.63,98581.0,1.17131
788904460,231.428,37.63,98576.0,1.17125
788913911,231.256,37.63,98578.0,1.17127
788937377,231.256,37.63,98578.0,1.17127
788948460,230.999,37.63,98581.0,1.17131
788958967,230.999,37.63,98581.0,1.17131
788979957,231.512,37.63,98575.0,1.17123
788990539,231.171,37.63,98579.0,1.17128
789001552,231.512,37.63,98575.0,1.17123
789023147,231.087,37.63,98580.0,1.17129
789033937,231.428,37.63,98576.0,1.17125
789043969,231.428,37.63,98576.0,1.17125
789065562,231.512,37.64,98575.0,1.17123
789076523,231.681,37.64,98573.0,1.17121
789085968,231.597,37.64,98574.0,1.17122
789109691,231.681,37.64,98573.0,1.17121
789122029,231.428,37.64,98576.0,1.17125
789133723,231.256,37.64,98578.0,1.17127
789155980,231.681,37.63,98573.0,1.17121
789167545,231.34,37.63,98577.0,1.17126
789178530,231.428,37.63,98576.0,1.17125
789199952,230.999,37.63,98581.0,1.17131
789211552,231.597,37.63,98574.0,1.17122
789222668,231.34,37.63,98577.0,1.17126
789244653,231.171,37.63,98579.0,1.17128
789255594,231.34,37.63,98577.0,1.17126
789266083,231.428,37.63,98576.0,1.17125
789287594,231.087,37.63,98580.0,1.17129
789298132,231.512,37.63,98575.0,1.17123
789308715,231.256,37.63,98578.0,1.17127
789329085,231.428,37.64,98576.0,1.17125
789339980,231.34,37.64,98577.0,1.17126
789351184,231.171,37.64,98579.0,1.17128
789373860,231.256,37.64,98578.0,1.17127
789384796,231.938,37.64,98570.0,1.17117
789395946,231.428,37.64,98576.0,1.17125
789418557,232.022,37.64,98569.0,1.17116
789430467,231.512,37.64,98575.0,1.17123
789441094,230.999,37.64,98581.0,1.17131
789463150,231.428,37.64,98576.0,1.17125
789476042,231.087,37.64,98580.0,1.17129
789487158,231.256,37.64,98578.0,1.17127
789511362,231.512,37.63,98575.0,1.17123
789523171,231.171,37.63,98579.0,1.17128
789533265,231.597,37.63,98574.0,1.17122
789554979,231.256,37.64,98578.0,1.17127
789567591,231.597,37.64,98574.0,1.17122
789578973,231.428,37.64,98576.0,1.17125
789601111,231.512,37.63,98575.0,1.17123
789611554,231.256,37.63,98578.0,1.17127
789623664,231.681,37.63,98573.0,1.17121
789644781,231.34,37.64,98577.0,1.17126
789655286,231.428,37.64,98576.0,1.17125
789665959,231.428,37.64,98576.0,1.17125
789689080,231.681,37.63,98573.0,1.17121
789699959,231.428,37.63,98576.0,1.17125
789711951,231.681,37.63,98573.0,1.17121
789733900,230.999,37.63,98581.0,1.17131
789745558,230.999,37.63,98581.0,1.17131
789755945,231.171,37.63,98579.0,1.17128
789777901,231.681,37.63,98573.0,1.17121
789788847,231.34,37.63,98577.0,1.17126
789799968,231.428,37.63,98576.0,1.17125
789824299,231.512,37.63,98575.0,1.17123
789836847,231.171,37.63,98579.0,1.17128
789848340,231.34,37.63,98577.0,1.17126
789871604,231.428,37.63,98576.0,1.17125
789882936,231.087,37.63,98580.0,1.17129
789893383,231.171,37.63,98579.0,1.17128
789915654,231.256,37.63,98578.0,1.17127
789927320,231.087,37.63,98580.0,1.17129
