timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
788134997,0,0.0,0.0,0.0,0.0,-0.00836993,-6.77316e-07,3.01607e-08,0.0,0.00246031,0.00195423,0.0212317,0.0407135,-0.000169329,7.54016e-06,0.0,0.0124924,-0.0298926,0.00196949,0.871836,0.0,0.1,-0.0212317,0.124377,0.257568,0.10201,0.112078,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
788239796,0,0.0,0.0,0.0,0.0,-0.00586813,-6.77316e-07,3.01607e-08,0.0,0.00277497,0.00176804,0.0218071,0.0393036,-0.000169329,7.54016e-06,0.0,-0.00287474,0.00635751,-0.00342527,0.87188,0.0,0.1,-0.0218071,0.123241,0.256229,0.10152,0.111707,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
788343797,0,0.0,0.0,0.0,0.0,-0.00492657,-6.77316e-07,3.01607e-08,0.0,0.00237848,0.00127524,0.0212494,0.0355239,-0.000169329,7.54016e-06,0.0,-0.00540668,0.00330121,0.00630767,0.871929,0.0,0.1,-0.0212494,0.122232,0.254999,0.101106,0.11136,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
788447796,0,0.0,0.0,0.0,0.0,-0.00476636,-6.77316e-07,3.01607e-08,0.0,0.00231957,0.000990861,0.0208436,0.0315943,-0.000169329,7.54016e-06,0.0,0.00806012,0.0123616,0.0125708,0.871936,0.0,0.1,-0.0208436,0.123095,0.255838,0.101646,0.111601,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
788543796,0,0.0,0.0,0.0,0.0,-0.00374796,-6.77316e-07,3.01607e-08,0.0,0.00276914,0.000192431,0.0210722,0.0298289,-0.000169329,7.54016e-06,0.0,0.030537,-0.0227675,0.0344579,0.871905,0.0,0.1,-0.0210722,0.121528,0.253925,0.100936,0.111092,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
788644596,0,0.0,0.0,0.0,0.0,-0.00140523,-6.77316e-07,3.01607e-08,0.0,0.00173502,-0.000723337,0.0212811,0.0294104,-0.000169329,7.54016e-06,0.0,0.162863,0.18121,0.0769545,0.871877,0.0,0.1,-0.0212811,0.120709,0.252798,0.100624,0.11081,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
788748596,0,0.0,0.0,0.0,0.0,0.00263669,-6.77316e-07,3.01607e-08,0.0,0.00334615,-0.00219457,0.0219949,0.031115,-0.000169329,7.54016e-06,0.0,0.0420736,0.012572,0.0457048,0.872064,0.0,0.1,-0.0219949,0.1215,0.253481,0.101114,0.111085,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
788852596,0,0.0,0.0,0.0,0.0,0.00685254,-6.77316e-07,3.01607e-08,0.0,0.00279847,-0.00215668,0.0238033,0.0337443,-0.000169329,7.54016e-06,0.0,0.104442,0.0787286,-0.0134353,0.871913,0.0,0.1,-0.0238033,0.122546,0.254457,0.101738,0.111383,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
788948597,0,0.0,0.0,0.0,0.0,0.00931049,-6.77316e-07,3.01607e-08,0.0,0.00202811,-0.00110234,0.0239594,0.0331494,-0.000169329,7.54016e-06,0.0,0.0708201,0.0512071,-0.0828784,0.871865,0.0,0.1,-0.0239594,0.122865,0.254681,0.10194,0.111465,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
789052601,0,0.0,0.0,0.0,0.0,0.0129087,-6.77316e-07,3.01607e-08,0.0,0.0115991,-0.0201552,0.0252718,0.0345754,-0.000169329,7.54016e-06,0.0,-0.0966943,-1.04973,-0.00487886,0.872241,0.0,0.100169,-0.0252718,0.121962,0.253549,0.101501,0.111175,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
789156597,0,0.0,0.0,0.0,0.0,0.0185789,-6.77316e-07,3.01607e-08,0.0,-0.0156505,-0.0189928,0.0219508,0.0331639,-0.000169329,7.54016e-06,0.0,-0.780641,1.00092,-0.435548,0.872721,0.0,0.101306,-0.0219508,0.122942,0.254504,0.102036,0.111462,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
789253396,0,0.0,0.0,0.0,0.0,0.0231239,-6.77316e-07,3.01607e-08,0.0,-0.00554754,-0.0149689,0.0331243,0.0448958,-0.000169329,7.54016e-06,0.0,-2.29309,-0.956542,0.638753,0.871333,0.0,0.1,-0.0331243,0.123212,0.25472,0.102168,0.111539,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
789357396,0,0.0,0.0,0.0,0.0,0.0223264,-6.77316e-07,3.01607e-08,0.0,-0.000176246,-0.0105424,0.0264043,0.0331238,-0.000169329,7.54016e-06,0.0,-0.743292,-0.566629,0.119583,0.872497,0.0,0.1,-0.0264043,0.122294,0.253638,0.101684,0.111244,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
789461396,0,0.0,0.0,0.0,0.0,0.0206146,-6.77316e-07,3.01607e-08,0.0,0.00533347,-0.00111226,0.0257439,0.0273147,-0.000169329,7.54016e-06,0.0,0.135139,-0.786743,-0.230373,0.872682,0.0,0.1,-0.0257439,0.123227,0.254581,0.102174,0.111523,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
789565397,0,0.0,0.0,0.0,0.0,0.0188495,-6.77316e-07,3.01607e-08,0.0,-0.000924627,0.00406024,0.0259567,0.023074,-0.000169329,7.54016e-06,0.0,0.855412,0.87366,-0.12147,0.872162,0.0,0.1,-0.0259567,0.122282,0.253466,0.101672,0.111235,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
789662214,0,0.0,0.0,0.0,0.0,0.0159476,-6.77316e-07,3.01607e-08,0.0,-0.0017026,-0.0270177,0.0247257,0.017094,-0.000169329,7.54016e-06,0.0,-0.347913,-1.27393,0.121577,0.871196,0.0,0.1,-0.0247257,0.124342,0.255717,0.102703,0.111863,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
789766196,0,0.0,0.0,0.0,0.0,0.0143952,-6.77316e-07,3.01607e-08,0.0,0.0137691,-0.0199882,0.0240509,0.0134987,-0.000169329,7.54016e-06,0.0,0.679912,-1.0651,-0.053362,0.871393,0.0,0.1,-0.0240509,0.123207,0.254498,0.102057,0.111531,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
