timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
788130659,0.132912,-0.157192,0.517746
788152742,0.132912,-0.163133,0.520869
788174720,0.132912,-0.157192,0.514622
788195659,0.132912,-0.160163,0.511499
788218666,0.132912,-0.160163,0.511499
788240915,0.135899,-0.157192,0.511499
788262665,0.132912,-0.157192,0.508375
788284731,0.132912,-0.157192,0.514622
788307595,0.132912,-0.160163,0.517746
788328868,0.132912,-0.160163,0.508375
788350662,0.132912,-0.160163,0.514622
788371595,0.132912,-0.160163,0.508375
788392890,0.135899,-0.157192,0.514622
788415601,0.135899,-0.160163,0.514622
788438660,0.132912,-0.160163,0.508375
788459606,0.132912,-0.160163,0.517746
788482669,0.132912,-0.160163,0.517746
788504831,0.132912,-0.157192,0.511499
788525646,0.132912,-0.160163,0.511499
788546734,0.132912,-0.157192,0.508375
788569594,0.132912,-0.163133,0.514622
788590661,0.135899,-0.160163,0.508375
788611594,0.129924,-0.157192,0.520869
788631594,0.132912,-0.157192,0.514622
788651600,0.132912,-0.160163,0.511499
788673949,0.135899,-0.157192,0.514622
788697932,0.135899,-0.157192,0.517746
788720517,0.132912,-0.160163,0.514622
788743595,0.132912,-0.160163,0.514622
788765065,0.135899,-0.160163,0.514622
788786730,0.129924,-0.160163,0.511499
788809077,0.132912,-0.157192,0.511499
788833066,0.132912,-0.157192,0.517746
788857155,0.132912,-0.160163,0.514622
788881158,0.135899,-0.157192,0.511499
788903595,0.132912,-0.160163,0.514622
788925078,0.132912,-0.160163,0.514622
788947594,0.129924,-0.160163,0.517746
788969085,0.132912,-0.157192,0.511499
788989664,0.135899,-0.157192,0.514622
789011606,0.132912,-0.163133,0.517746
789033071,0.132912,-0.160163,0.508375
789054032,0.129924,-0.160163,0.514622
789075601,0.132912,-0.166104,0.514622
789097064,0.129924,-0.169074,0.514622
789121161,0.132912,-0.169074,0.517746
789145088,0.132912,-0.154222,0.511499
789166660,0.132912,-0.154222,0.511499
789187654,0.129924,-0.160163,0.517746
789210655,0.132912,-0.157192,0.511499
789230669,0.132912,-0.163133,0.514622
789251594,0.132912,-0.160163,0.514622
789274120,0.132912,-0.160163,0.514622
789294865,0.132912,-0.160163,0.514622
789316653,0.135899,-0.160163,0.517746
789338991,0.132912,-0.160163,0.514622
789362114,0.132912,-0.157192,0.517746
789383932,0.132912,-0.160163,0.508375
789406666,0.132912,-0.160163,0.508375
789428661,0.132912,-0.160163,0.502128
789451193,0.132912,-0.160163,0.511499
789475174,0.129924,-0.157192,0.511499
789499173,0.132912,-0.160163,0.517746
789522124,0.132912,-0.160163,0.511499
789543530,0.135899,-0.160163,0.514622
789566707,0.132912,-0.157192,0.514622
789588673,0.129924,-0.160163,0.511499
789610660,0.132912,-0.157192,0.508375
789631335,0.132912,-0.160163,0.511499
789653552,0.132912,-0.157192,0.514622
789676738,0.132912,-0.157192,0.517746
789698906,0.129924,-0.157192,0.514622
789721610,0.132912,-0.160163,0.517746
789744596,0.135899,-0.160163,0.511499
789765614,0.135899,-0.160163,0.514622
789787957,0.129924,-0.154222,0.511499
789812122,0.132912,-0.160163,0.514622
789835960,0.129924,-0.160163,0.520869
789858916,0.132912,-0.160163,0.511499
789881593,0.129924,-0.160163,0.514622
789904070,0.132912,-0.160163,0.514622
789925586,0.135899,-0.154222,0.514622
789948723,0.132912,-0.160163,0.514622
789970903,0.129924,-0.160163,0.511499
789993601,0.135899,-0.160163,0.508375
790015295,0.132912,-0.160163,0.511499
790035594,0.129924,-0.157192,0.517746
790056726,0.132912,-0.160163,0.511499
790079245,0.135899,-0.160163,0.508375
790100018,0.132912,-0.157192,0.520869
790123965,0.132912,-0.160163,0.511499
790147957,0.129924,-0.160163,0.514622
790170461,0.132912,-0.157192,0.514622
790193596,0.132912,-0.160163,0.517746
790214667,0.129924,-0.160163,0.514622
790236722,0.132912,-0.160163,0.514622
790258661,0.132912,-0.157192,0.520869
790281594,0.132912,-0.157192,0.511499
790302658,0.132912,-0.163133,0.514622
790324729,0.132912,-0.157192,0.520869
790346668,0.132912,-0.160163,0.514622
790368775,0.129924,-0.160163,0.517746
790390659,0.129924,-0.160163,0.508375
790412725,0.132912,-0.163133,0.514622
790434659,0.132912,-0.157192,0.514622
790457608,0.132912,-0.160163,0.514622
790478660,0.129924,-0.157192,0.511499
790500726,0.132912,-0.160163,0.517746
790522659,0.132912,-0.163133,0.517746
790544723,0.129924,-0.160163,0.511499
790566661,0.132912,-0.160163,0.511499
790588732,0.132912,-0.160163,0.511499
790610654,0.132912,-0.160163,0.511499
790633613,0.132912,-0.160163,0.514622
790654655,0.132912,-0.160163,0.520869
790675754,0.129924,-0.163133,0.517746
790696789,0.132912,-0.163133,0.514622
790717652,0.135899,-0.163133,0.511499
790738710,0.129924,-0.157192,0.511499
790761601,0.135899,-0.163133,0.514622
