timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
191834170,191834170,18,255,0,0,0,1517,1510,1927,1474,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
192025861,192025861,18,255,0,0,0,1517,1510,1927,1474,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
192226671,192226671,18,255,0,0,0,1517,1510,1927,1474,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
192451481,192451481,18,255,0,0,0,1517,1510,1927,1474,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
192647461,192647461,18,255,0,0,0,1517,1510,1927,1474,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
192844571,192844571,18,255,0,0,0,1517,1510,1927,1474,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
193040270,193040270,18,255,0,0,0,1517,1510,1927,1474,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
193245179,193245179,18,255,0,0,0,1517,1510,1927,1469,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
193449062,193449062,18,255,0,0,0,1517,1510,1927,1469,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
193649889,193649889,18,255,0,0,0,1517,1510,1927,1469,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
193849899,193849899,18,255,0,0,0,1517,1510,1927,1465,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
194050729,194050729,18,255,0,0,0,1517,1510,1927,1465,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
194266662,194266662,18,255,0,0,0,1517,1510,1927,1460,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
194467780,194467780,18,255,0,0,0,1517,1510,1927,1465,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
194675480,194675480,18,255,0,0,0,1517,1510,1927,1465,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
194868283,194868283,18,255,0,0,0,1517,1510,1927,1465,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
195069062,195069062,18,255,0,0,0,1517,1510,1927,1469,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
195265060,195265060,18,255,0,0,0,1517,1510,1927,1478,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
195465869,195465869,18,255,0,0,0,1517,1510,1927,1483,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
195669897,195669897,18,255,0,0,0,1517,1510,1927,1488,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
195874963,195874963,18,255,0,0,0,1517,1510,1927,1497,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
196086914,196086914,18,255,0,0,0,1517,1510,1927,1502,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
196295466,196295466,18,255,0,0,0,1517,1510,1927,1507,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
196479471,196479471,18,255,0,0,0,1517,1510,1927,1507,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
196680287,196680287,18,255,0,0,0,1517,1510,1927,1507,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
196904268,196904268,18,255,0,0,0,1517,1510,1927,1512,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
197105062,197105062,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
197305063,197305063,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
197505862,197505862,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
197705865,197705865,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
197906667,197906667,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
198099471,198099471,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
198303464,198303464,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
198524373,198524373,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
198724630,198724630,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
198917148,198917148,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
199133095,199133095,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
199338177,199338177,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
199541865,199541865,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
199742660,199742660,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
199935466,199935466,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
200135520,200135520,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
200335475,200335475,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
200536262,200536262,18,255,0,0,0,1517,1510,1927,1515,961,1514,2067,1514,964,964,1514,1514,1514,1514,1514,1514,1998,1998,0,0,4
