timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
36244584,36244428,0.0295995,0.0437461,0.000770133,0.0,0.0,0.0,0.0,-1.0
36344558,36344428,0.0296478,0.0437493,0.000746716,0.0,0.0,0.0,0.0,-1.0
36444552,36444428,0.0294747,0.0435331,0.000756473,0.0,0.0,0.0,0.0,-1.0
36548554,36548428,0.0293885,0.043682,0.000640659,0.0,0.0,0.0,0.0,-1.0
36648553,36648428,0.0296285,0.043666,0.000778446,0.0,0.0,0.0,0.0,-1.0
36748555,36748428,0.0292411,0.0436576,0.000745393,0.0,0.0,0.0,0.0,-1.0
36852551,36852428,0.0293496,0.0436095,0.000900041,0.0,0.0,0.0,0.0,-1.0
36952552,36952428,0.0296054,0.0435559,0.000800591,0.0,0.0,0.0,0.0,-1.0
37056555,37056428,0.0295059,0.043718,0.000608127,0.0,0.0,0.0,0.0,-1.0
37157351,37157228,0.0295226,0.0436589,0.000528261,0.0,0.0,0.0,0.0,-1.0
37257356,37257228,0.0295369,0.0437979,0.000473097,0.0,0.0,0.0,0.0,-1.0
37357349,37357228,0.0296175,0.0435979,0.00047687,0.0,0.0,0.0,0.0,-1.0
37461362,37461238,0.0295994,0.0438174,0.000701343,0.0,0.0,0.0,0.0,-1.0
37561359,37561228,0.02956,0.0436447,0.000409105,0.0,0.0,0.0,0.0,-1.0
37665353,37665228,0.029514,0.043743,0.000762789,0.0,0.0,0.0,0.0,-1.0
37765417,37765227,0.0295847,0.0438082,0.000571433,0.0,0.0,0.0,0.0,-1.0
37865383,37865228,0.029667,0.0437986,0.000513727,0.0,0.0,0.0,0.0,-1.0
37969392,37969230,0.0296638,0.0438545,0.000735658,0.0,0.0,0.0,0.0,-1.0
38069384,38069229,0.0296956,0.0436721,0.000710952,0.0,0.0,0.0,0.0,-1.0
38169366,38169228,0.0296697,0.0437398,0.000750978,0.0,0.0,0.0,0.0,-1.0
38273389,38273228,0.0296295,0.043769,0.000687381,0.0,0.0,0.0,0.0,-1.0
38373390,38373229,0.0297207,0.0436527,0.000552846,0.0,0.0,0.0,0.0,-1.0
38477352,38477228,0.0297409,0.0436369,0.000747147,0.0,0.0,0.0,0.0,-1.0
38577353,38577228,0.029587,0.0438106,0.000335042,0.0,0.0,0.0,0.0,-1.0
38677353,38677228,0.0297302,0.0438707,0.000571712,0.0,0.0,0.0,0.0,-1.0
38781389,38781228,0.0298094,0.0436455,0.000573547,0.0,0.0,0.0,0.0,-1.0
38881394,38881228,0.0296367,0.0439664,0.000539536,0.0,0.0,0.0,0.0,-1.0
38981382,38981228,0.0298212,0.0438835,0.000521331,0.0,0.0,0.0,0.0,-1.0
39085354,39085228,0.0297299,0.0438801,0.000497383,0.0,0.0,0.0,0.0,-1.0
39185351,39185228,0.0296061,0.0437869,0.000641171,0.0,0.0,0.0,0.0,-1.0
39286173,39286042,0.0295882,0.0438705,0.000511702,0.0,0.0,0.0,0.0,-1.0
39390160,39390028,0.0298046,0.0438022,0.000503027,0.0,0.0,0.0,0.0,-1.0
39490167,39490028,0.0297189,0.0437939,0.000454188,0.0,0.0,0.0,0.0,-1.0
39590161,39590028,0.0295501,0.043824,0.000638751,0.0,0.0,0.0,0.0,-1.0
39694194,39694060,0.0298155,0.0440069,0.000507723,0.0,0.0,0.0,0.0,-1.0
39794165,39794028,0.0297779,0.0439799,0.000626269,0.0,0.0,0.0,0.0,-1.0
39898167,39898028,0.0296758,0.0437841,0.000613778,0.0,0.0,0.0,0.0,-1.0
39998167,39998028,0.0297053,0.0438746,0.000754361,0.0,0.0,0.0,0.0,-1.0
40098165,40098045,0.0297709,0.0438611,0.000400459,0.0,0.0,0.0,0.0,-1.0
40202168,40202028,0.0297096,0.0439685,0.000370897,0.0,0.0,0.0,0.0,-1.0
