timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
36244428,0.00096805,0.00122645,-0.00120004,4000,0,-0.47678,0.307771,-9.70714,4000
36248428,-0.00240552,0.00162318,-0.000223524,4000,0,-0.474123,0.313402,-9.7571,4000
36252442,-0.000678169,0.00074915,0.000325854,4014,0,-0.4774,0.31178,-9.76805,4014
36256428,0.00088289,0.000138545,-0.000488131,3986,0,-0.478203,0.310272,-9.73648,3986
36260428,-0.00385066,0.000192544,0.0011595,4000,0,-0.467476,0.331019,-9.72997,4000
36264428,-0.000978412,-0.00173304,0.0013196,4000,0,-0.46013,0.342024,-9.75326,4000
36268428,0.00142954,0.000339634,-0.000181271,4000,0,-0.454557,0.32126,-9.73073,4000
36272428,-0.00335363,0.000442174,8.63424e-05,4000,0,-0.478096,0.326255,-9.7613,4000
36276428,-0.000114785,-0.000571129,0.00154404,4000,0,-0.484849,0.331699,-9.7776,4000
36280428,0.00119208,0.000471628,-0.00091267,4000,0,-0.481743,0.339275,-9.78412,4000
36284428,-0.00269756,0.000742789,0.000607878,4000,0,-0.483184,0.332938,-9.78477,4000
36288428,2.115e-05,-0.000272805,-0.00090206,4000,0,-0.47745,0.341209,-9.7417,4000
36292428,0.000659573,0.000794732,-0.000992576,4000,0,-0.483526,0.354792,-9.73857,4000
36296428,-0.00386744,0.00084915,0.000650128,4000,0,-0.476848,0.353326,-9.76708,4000
36300428,0.000587743,-0.000309986,0.000143547,4000,0,-0.463257,0.321376,-9.76196,4000
36304428,2.41996e-05,0.00196253,-0.000930684,4000,0,-0.483166,0.308485,-9.75601,4000
36308428,-0.00301709,-1.73012e-06,0.000592957,4000,0,-0.479684,0.32055,-9.78006,4000
36312428,0.00097686,-0.000272036,-0.000932732,4000,0,-0.474922,0.310288,-9.73763,4000
36316428,-0.000930767,0.000999801,-0.000719952,4000,0,-0.472749,0.334981,-9.77359,4000
36320428,-0.00351185,-0.000258648,0.00187634,4000,0,-0.474194,0.311502,-9.75867,4000
36324428,0.000591144,-0.00063248,0.000238648,4000,0,-0.476461,0.326487,-9.71168,4000
36328428,4.44936e-05,0.000341601,-0.000242231,4000,0,-0.486558,0.303639,-9.69828,4000
36332428,-0.00406049,-0.000342935,0.00125436,4000,0,-0.460764,0.324659,-9.72993,4000
36336428,0.000339489,-0.000591888,-0.000923364,4000,0,-0.475005,0.307012,-9.78402,4000
36340428,-0.000990427,-0.000753604,0.000712741,4000,0,-0.475102,0.329563,-9.77226,4000
36344428,-0.00333007,-0.000434528,0.000800932,4000,0,-0.46888,0.319291,-9.75802,4000
36348428,0.0021839,-0.000428321,0.000305914,4000,0,-0.475192,0.31288,-9.75787,4000
36352428,-0.00131317,0.0012746,0.000580187,4000,0,-0.465829,0.30298,-9.7525,4000
36356428,-0.00281964,-0.000731456,0.000134537,4000,0,-0.486905,0.325478,-9.76676,4000
36360428,0.000764699,-0.000697723,-0.000940788,4000,0,-0.478981,0.338862,-9.75893,4000
36364428,-0.00185679,0.00107294,0.000272001,4000,0,-0.490458,0.33398,-9.75823,4000
36368429,-0.00109581,-0.000221918,0.000734651,4001,0,-0.479527,0.323791,-9.74653,4001
36372428,0.000995232,-0.000822838,-0.000420516,3999,0,-0.478927,0.304637,-9.77205,3999
36376428,-0.00290508,-0.000748123,0.000667761,4000,0,-0.475632,0.325173,-9.75997,4000
36380428,-0.00170269,-0.000676121,-0.00149771,4000,0,-0.464622,0.319831,-9.75958,4000
36384428,0.000282386,0.00127896,-0.00266803,4000,0,-0.473061,0.321598,-9.75398,4000
36388428,-0.00368226,0.00130411,-0.000192527,4000,0,-0.467908,0.311475,-9.77217,4000
36392428,-0.00176082,0.00119037,-4.67196e-05,4000,0,-0.465631,0.318927,-9.77581,4000
36396428,0.00138674,0.0011289,-0.00153659,4000,0,-0.489069,0.313067,-9.76147,4000
36400428,-0.0026081,0.00129304,9.13195e-05,4000,0,-0.481208,0.323575,-9.76845,4000
36404428,0.000152942,-0.000410388,4.77141e-05,4000,0,-0.480864,0.300824,-9.80221,4000
36408428,0.00152523,0.000563295,-0.000496424,4000,0,-0.470167,0.312782,-9.75343,4000
36412428,-0.00283813,-0.00156386,-0.00042648,4000,0,-0.479625,0.314138,-9.76405,4000
36416430,-0.000726835,-0.000907103,-0.00100598,4002,0,-0.486828,0.332712,-9.74979,4002
36420428,0.00143275,0.000654986,-6.38029e-05,3998,0,-0.493563,0.332245,-9.75056,3998
36424428,-0.00214832,0.000405132,0.00111064,4000,0,-0.480675,0.317165,-9.76678,4000
36428428,0.000488629,-0.000104386,0.00036704,4000,0,-0.455058,0.319323,-9.73127,4000
36432429,0.00103188,-0.000111839,0.000563962,4001,0,-0.47607,0.306649,-9.74522,4001
36436428,-0.00270504,0.00043123,0.00038427,3999,0,-0.485034,0.319164,-9.75368,3999
36440428,-0.000374821,0.000973961,6.63209e-06,4000,0,-0.484333,0.316007,-9.76145,4000
36444428,0.000681606,0.000449687,-0.000259477,4000,0,-0.497419,0.326404,-9.73678,4000
36448428,-0.00270525,-0.000313141,0.000358378,4000,0,-0.494168,0.325043,-9.7398,4000
36452428,0.00120252,0.000460627,-0.000595897,4000,0,-0.459993,0.319498,-9.75019,4000
36456429,0.000792393,-0.0012598,-0.000109375,4001,0,-0.461558,0.318198,-9.78313,4001
36460428,-0.00218227,-0.00275066,4.34147e-05,3999,0,-0.482863,0.31497,-9.74632,3999
36464428,0.00146042,9.35703e-05,0.000767929,4000,0,-0.484343,0.327239,-9.74721,4000
36468428,0.000177482,0.000746687,0.000404584,4000,0,-0.480481,0.334549,-9.7609,4000
36472428,-0.00334973,-0.000727601,0.000152141,4000,0,-0.475665,0.321801,-9.76007,4000
36476436,0.000888492,0.000558263,-0.000367155,4008,0,-0.474577,0.331961,-9.77073,4008
36480428,-0.00101281,0.00097027,0.000134077,3992,0,-0.489011,0.330048,-9.75748,3992
36484428,-0.00227621,0.000214692,0.000469111,4000,0,-0.4761,0.329654,-9.81711,4000
36488428,0.00095172,-0.000355251,-0.0016834,4000,0,-0.45717,0.330776,-9.7958,4000
36492428,-0.00126923,-0.000258038,-0.00128519,4000,0,-0.482092,0.333269,-9.76617,4000
36496428,-0.000768526,-0.00193461,0.000984054,4000,0,-0.474035,0.322624,-9.78352,4000
36500428,0.00194719,0.000566986,-0.000616745,4000,0,-0.487942,0.318249,-9.78369,4000
36504428,-0.00173928,0.00127472,0.000594635,4000,0,-0.481813,0.323707,-9.77224,4000
36508428,-0.00218158,-0.000837814,0.000109813,4000,0,-0.453323,0.312252,-9.79507,4000
36512428,0.00229849,0.000632814,0.000543814,4000,0,-0.464423,0.306565,-9.78541,4000
36516428,-0.0019449,0.000531248,0.000680008,4000,0,-0.470245,0.287524,-9.75767,4000
36520428,-0.00216997,0.000108333,0.000461916,4000,0,-0.47189,0.31652,-9.77664,4000
36524428,0.00108202,0.000369034,-0.00102128,4000,0,-0.444084,0.31743,-9.74744,4000
36528428,-0.00303332,0.00150575,0.00011272,4000,0,-0.465247,0.310672,-9.73504,4000
36532428,-0.000889925,-5.91831e-06,0.000628315,4000,0,-0.474042,0.314793,-9.76897,4000
36536428,0.00197052,0.00256564,9.11513e-05,4000,0,-0.466278,0.301467,-9.73724,4000
36540428,-0.00240083,-0.000404998,-8.10183e-05,4000,0,-0.486426,0.298117,-9.76677,4000
36544428,0.000407168,-0.00162834,0.00127557,4000,0,-0.461161,0.308474,-9.78585,4000
36548428,0.000826594,0.000834382,0.000921087,4000,0,-0.462119,0.329522,-9.78558,4000
