timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
46430287,383.562,25.24,96802.0,1.15017
46934239,383.733,25.24,96800.0,1.15014
47451889,383.475,25.24,96803.0,1.15018
47953057,382.957,25.24,96809.0,1.15025
48454995,383.475,25.24,96803.0,1.15018
48968546,383.216,25.24,96806.0,1.15022
49470293,383.044,25.24,96808.0,1.15024
49974239,383.044,25.24,96808.0,1.15024
50492217,383.128,25.24,96807.0,1.15023
50993038,383.562,25.24,96802.0,1.15017
51494968,383.387,25.24,96804.0,1.15019
52006997,383.044,25.24,96808.0,1.15024
52511718,383.387,25.24,96804.0,1.15019
53014258,383.3,25.24,96805.0,1.1502
53525997,382.957,25.24,96809.0,1.15025
54027161,383.3,25.24,96805.0,1.1502
54529091,383.387,25.24,96804.0,1.15019
55042115,383.044,25.24,96808.0,1.15024
