timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
299028069,299028069,4609385,19,2,1,156,155,22,19,100,51,68
300101160,300101160,4609385,19,2,1,156,155,22,19,100,51,68
301096060,301096060,4609385,19,2,1,156,155,22,19,100,51,68
302010214,302010214,4609385,19,2,1,156,155,22,19,100,51,68
303088193,303088193,4609385,19,2,1,156,155,22,19,100,51,68
304001175,304001175,4609385,19,2,1,156,155,22,19,100,51,68
304998144,304998144,4609385,19,2,1,156,155,22,19,100,51,68
306152207,306152207,4609385,19,2,1,156,155,22,19,100,51,68
306989272,306989272,4609385,19,2,1,156,155,22,19,100,51,68
307990205,307990205,4609385,19,2,1,156,155,22,19,100,51,68
309117482,309117482,4609385,19,2,1,156,155,22,19,100,51,68
310011743,310011743,4609385,19,2,1,156,155,22,19,100,51,68
310971725,310971725,4609385,19,2,1,156,155,22,19,100,51,68
312121163,312121163,4609385,19,2,1,156,155,22,19,100,51,68
313045019,313045019,4609385,19,2,1,156,155,22,19,100,51,68
313964630,313964630,4609385,19,2,1,156,155,22,19,100,51,68
315113123,315113123,4609385,19,2,1,156,155,22,19,100,51,68
316034108,316034108,4609385,19,2,1,156,155,22,19,100,51,68
316967005,316967005,4609385,19,2,1,156,155,22,19,100,51,68
318030192,318030192,4609385,19,2,1,156,155,22,19,100,51,68
319022272,319022272,4609385,19,2,1,156,155,22,19,100,51,68
320095098,320095098,4609385,19,2,1,156,155,22,19,100,51,68
321095036,321095036,4609385,19,2,1,156,155,22,19,100,51,68
321960765,321960765,4609385,19,2,1,156,155,22,19,100,51,68
323144678,323144678,4609385,19,2,1,156,155,22,19,100,51,68
323972505,323972505,4609385,19,2,1,156,155,22,19,100,51,68
325002141,325002141,4609385,19,2,1,156,155,22,19,100,51,68
326149386,326149386,4609385,19,2,1,156,155,22,19,100,51,68
327069445,327069445,4609385,19,2,1,156,155,22,19,100,51,68
327988055,327988055,4609385,19,2,1,156,155,22,19,100,51,68
329042094,329042094,4609385,19,2,1,156,155,22,19,100,51,68
329985849,329985849,4609385,19,2,1,156,155,22,19,100,51,68
330976067,330976067,4609385,19,2,1,156,155,22,19,100,51,68
332022168,332022168,4609385,19,2,1,156,155,22,19,100,51,68
333041601,333041601,4609385,19,2,1,156,155,22,19,100,51,68
333964046,333964046,4609385,19,2,1,156,155,22,19,100,51,68
335113497,335113497,4609385,19,2,1,156,155,22,19,100,51,68
336031023,336031023,4609385,19,2,1,156,155,22,19,100,51,68
337114939,337114939,4609385,19,2,1,156,155,22,19,100,51,68
338016130,338016130,4609385,19,2,1,156,155,22,19,100,51,68
339017054,339017054,4609385,19,2,1,156,155,22,19,100,51,68
340070219,340070219,4609385,19,2,1,156,155,22,19,100,51,68
341085021,341085021,4609385,19,2,1,156,155,22,19,100,51,68
341999059,341999059,4609385,19,2,1,156,155,22,19,100,51,68
343038177,343038177,4609385,19,2,1,156,155,22,19,100,51,68
343995037,343995037,4609385,19,2,1,156,155,22,19,100,51,68
344992220,344992220,4609385,19,2,1,156,155,22,19,100,51,68
346140252,346140252,4609385,19,2,1,156,155,22,19,100,51,68
