timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
1745816197,1559240412199528,408102097,-778706238,341522,307082,1.189,0.758305,4.927,8.531,0.81,1.35,99,12,0.849,0.188,-0.828,0.472,0.65818,0,3,1,14
1746015391,1559240412399528,408102093,-778706264,341407,306967,1.505,0.75836,4.947,8.564,0.88,1.54,99,6,1.065,-0.066,-1.062,0.455,0.65818,0,3,1,12
1746215095,1559240412599528,408102092,-778706291,341263,306823,1.569,0.758417,4.983,8.602,0.95,1.57,99,6,1.116,0.091,-1.112,0.517,0.65818,0,3,1,11
1746414158,1559240412799528,408102094,-778706317,341133,306693,1.54,0.758472,5.023,8.64,0.95,1.57,99,6,1.08,0.17,-1.066,0.524,0.65818,0,3,1,11
1746620532,1559240412999529,408102095,-778706345,341001,306561,1.577,0.758529,5.07,8.684,0.86,1.48,99,6,1.131,0.189,-1.115,0.484,0.65818,0,3,1,12
1746810159,1559240413199527,408102105,-778706372,340908,306468,1.709,0.758591,5.127,8.735,1.0,1.72,99,6,1.259,0.539,-1.138,0.565,0.65818,0,3,1,10
1747011037,1559240413399527,408102126,-778706384,340845,306405,1.807,0.758656,5.2,8.798,1.06,1.96,92,5,1.087,0.833,-0.699,0.621,0.65818,0,3,1,9
1747213037,1559240413599527,408102142,-778706387,340793,306352,2.322,0.75874,5.325,8.881,0.95,1.58,92,5,0.955,0.901,-0.318,0.438,0.65818,0,3,1,11
1747410310,1559240413799527,408102167,-778706388,340836,306396,2.976,0.758848,5.519,8.977,0.86,1.36,92,5,1.254,1.225,-0.272,0.241,0.65818,0,3,1,13
1747611037,1559240413999528,408102167,-778706406,340599,306159,2.538,0.758939,5.775,9.079,0.86,1.36,92,5,0.759,0.607,-0.455,0.373,0.65818,0,3,1,13
1747812167,1559240414199527,408102163,-778706422,340467,306027,1.774,0.759004,5.855,9.184,0.86,1.36,92,5,0.677,0.202,-0.646,0.216,0.65818,0,3,1,13
1748016308,1559240414399527,408102157,-778706429,340434,305994,2.007,0.759076,5.954,9.294,0.81,1.35,91,9,0.422,-0.12,-0.405,0.06,0.65818,0,3,1,14
1748213038,1559240414599527,408102144,-778706446,340156,305715,2.326,0.75916,6.036,9.377,0.81,1.35,91,9,0.735,-0.488,-0.55,0.21,0.65818,0,3,1,14
1748416067,1559240414799527,408102185,-778706433,340107,305667,1.952,0.75923,6.085,9.443,0.81,1.35,91,9,0.653,0.617,-0.216,0.007,0.65818,0,3,1,14
1748613119,1559240414999528,408102215,-778706432,339841,305401,1.916,0.7593,6.118,9.489,0.81,1.35,91,9,0.857,0.856,0.015,0.119,0.65818,0,3,1,14
1748820037,1559240415199527,408102214,-778706436,339894,305454,1.86,0.759367,6.149,9.568,0.81,1.35,91,9,0.34,0.34,0.013,0.116,0.65818,0,3,1,14
1749018969,1559240415399527,408102221,-778706436,339984,305544,1.75,0.75943,6.168,9.642,0.81,1.35,91,5,0.403,0.403,-0.006,0.017,0.65818,0,3,1,14
1749216212,1559240415599527,408102229,-778706442,340122,305681,1.426,0.759482,6.185,9.716,0.86,1.36,91,5,0.713,0.626,-0.342,0.152,0.65818,0,3,1,13
1749409153,1559240415799527,408102233,-778706445,340233,305793,1.42,0.759533,6.193,9.776,0.99,2.23,91,5,0.052,0.05,-0.015,-0.048,0.65818,0,3,1,9
1749608147,1559240415999528,408102236,-778706447,340197,305757,1.385,0.759583,6.207,9.847,0.95,1.55,91,5,0.044,-0.021,0.039,-0.128,0.65818,0,3,1,11
1749811037,1559240416199527,408102244,-778706458,339829,305388,1.104,0.759623,6.218,9.913,0.95,1.55,91,5,0.305,0.118,-0.281,0.128,0.65818,0,3,1,11
1750014094,1559240416399527,408102251,-778706465,339613,305173,1.433,0.759674,6.229,9.978,0.86,1.45,91,6,0.138,0.12,-0.069,0.162,0.65818,0,3,1,12
1750213044,1559240416599527,408102255,-778706465,339472,305031,0.941,0.759708,6.238,10.037,0.86,1.45,91,6,0.206,0.004,0.206,0.007,0.65818,0,3,1,12
1750411073,1559240416799527,408102260,-778706467,339361,304921,1.688,0.759769,6.249,10.107,0.86,1.64,91,6,0.152,0.152,-0.005,0.062,0.65818,0,3,1,11
1750608148,1559240416999528,408102264,-778706472,339225,304784,1.644,0.759829,6.26,10.177,0.86,1.64,91,6,0.104,0.104,0.003,0.07,0.65818,0,3,1,11
1750817039,1559240417199527,408102262,-778706477,339023,304583,1.625,0.759887,6.272,10.247,0.86,1.45,91,6,0.253,-0.251,0.03,0.139,0.65818,0,3,1,12
