timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1973950357,40.8102406293,-77.8706477207,342.515,-0.0,-0.0229962,0.0756809,0.0305102,-0.449169,3.97415,5.05096,0.0,2,0,0,0
1974150620,40.8102393642,-77.8706475067,342.547,-0.0,-0.0658856,0.0820111,0.0250917,-0.449194,3.97693,5.04498,0.0,2,0,0,0
1974355198,40.8102379285,-77.8706473283,342.588,-0.0,-0.11281,0.0872941,0.0157651,-0.449172,3.98077,5.04934,0.0,2,0,0,0
1974559173,40.8102364375,-77.8706471919,342.617,-0.0,-0.158511,0.0900592,0.00837862,-0.44918,3.98399,5.0538,0.0,2,0,0,0
1974759989,40.8102348423,-77.8706470933,342.634,-0.0,-0.205863,0.0932995,0.00424422,-0.449221,3.98847,5.04771,0.0,2,0,0,0
1974959944,40.810233311,-77.8706470134,342.646,-0.0,-0.249011,0.0963249,0.000513973,-0.449327,3.99284,5.05208,0.0,2,0,0,0
1975163958,40.8102318039,-77.8706469863,342.658,-0.0,-0.288511,0.0981189,-0.00159713,-0.449301,3.99832,5.04594,0.0,2,0,0,0
1975367966,40.81023035,-77.8706470116,342.67,-0.0,-0.323729,0.0982602,-0.00362524,-0.449238,4.00576,5.05054,0.0,2,0,0,0
1975568869,40.810228974,-77.8706470273,342.676,-0.0,-0.354262,0.098573,-0.00515226,-0.44927,4.01324,5.05528,0.0,2,0,0,0
1975768789,40.8102276647,-77.8706469902,342.69,-0.0,-0.382318,0.101109,-0.00740784,-0.449369,4.02179,5.04885,0.0,2,0,0,0
1975972774,40.810226347,-77.8706470503,342.704,-0.0,-0.409367,0.100267,-0.0103492,-0.449398,4.03076,5.0535,0.0,2,0,0,0
1976174385,40.8102250711,-77.8706472702,342.711,-0.0,-0.433987,0.0953226,-0.0111273,-0.449457,4.04093,5.04724,0.0,2,0,0,0
1976374389,40.8102239354,-77.8706475324,342.716,-0.0,-0.454437,0.0896112,-0.0104869,-0.449495,4.04881,5.05164,0.0,2,0,0,0
1976579172,40.8102227686,-77.8706477355,342.714,-0.0,-0.47467,0.0862076,-0.00681673,-0.449588,4.05846,5.05645,0.0,2,0,0,0
1976783171,40.8102218921,-77.8706478804,342.673,-0.0,-0.484139,0.0842149,0.00291434,-0.449682,4.06366,5.04966,0.0,2,0,0,0
