timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
2362815805,-0.032547,-0.025386,-0.0479942,0.0,0.999494,-0.0165713,-0.0122969,-0.0241962,0.0,-1.0,1,0,0,0,0,0,0
2362915568,-0.032547,-0.025386,-0.0479987,0.0,0.999494,-0.0165713,-0.0122969,-0.0241984,0.0,-1.0,1,0,0,0,0,0,0
2363015871,-0.032547,-0.025386,-0.0480392,0.0,0.999494,-0.0165716,-0.0122965,-0.0242187,0.0,-1.0,1,0,0,0,0,0,0
2363119847,-0.032547,-0.025386,-0.0480606,0.0,0.999493,-0.0165717,-0.0122963,-0.0242293,0.0,-1.0,1,0,0,0,0,0,0
2363219559,-0.032547,-0.025386,-0.0480998,0.0,0.999493,-0.016572,-0.012296,-0.024249,0.0,-1.0,1,0,0,0,0,0,0
2363323682,-0.032547,-0.025386,-0.048143,0.0,0.999493,-0.0165722,-0.0122957,-0.0242706,0.0,-1.0,1,0,0,0,0,0,0
2363423842,-0.032547,-0.025386,-0.0481771,0.0,0.999492,-0.0165724,-0.0122954,-0.0242876,0.0,-1.0,1,0,0,0,0,0,0
2363523516,-0.032547,-0.025386,-0.0482487,0.0,0.999491,-0.0165729,-0.0122948,-0.0243233,0.0,-1.0,1,0,0,0,0,0,0
2363627593,-0.032547,-0.025386,-0.0482998,0.0,0.999491,-0.0165732,-0.0122944,-0.0243489,0.0,-1.0,1,0,0,0,0,0,0
2363728281,-0.032547,-0.025386,-0.048353,0.0,0.99949,-0.0165735,-0.0122939,-0.0243755,0.0,-1.0,1,0,0,0,0,0,0
2363827747,-0.032547,-0.025386,-0.0484152,0.0,0.999489,-0.0165739,-0.0122934,-0.0244065,0.0,-1.0,1,0,0,0,0,0,0
2363932046,-0.032547,-0.025386,-0.0484235,0.0,0.999489,-0.016574,-0.0122933,-0.0244107,0.0,-1.0,1,0,0,0,0,0,0
