timestamp,safety_switch_available,safety_off,override_available,override_enabled
54922266,1,1,0,0
54942286,1,1,0,0
54966307,1,1,0,0
54986273,1,1,0,0
55010265,1,1,0,0
55034256,1,1,0,0
55054498,1,1,0,0
55078258,1,1,0,0
55102274,1,1,0,0
55126600,1,1,0,0
55150274,1,1,0,0
55174274,1,1,0,0
55194275,1,1,0,0
55218307,1,1,0,0
55242178,1,1,0,0
55262271,1,1,0,0
55286410,1,1,0,0
55310253,1,1,0,0
55330256,1,1,0,0
55354276,1,1,0,0
55378487,1,1,0,0
55398282,1,1,0,0
55422274,1,1,0,0
55446285,1,1,0,0
55470279,1,1,0,0
55494180,1,1,0,0
55514258,1,1,0,0
55534261,1,1,0,0
55555079,1,1,0,0
55579075,1,1,0,0
55603055,1,1,0,0
55623058,1,1,0,0
55643096,1,1,0,0
55667259,1,1,0,0
55687285,1,1,0,0
55711065,1,1,0,0
55735092,1,1,0,0
55759069,1,1,0,0
55783090,1,1,0,0
55807056,1,1,0,0
55827076,1,1,0,0
55851068,1,1,0,0
55875079,1,1,0,0
55899060,1,1,0,0
55923088,1,1,0,0
55947057,1,1,0,0
55967087,1,1,0,0
55991296,1,1,0,0
56015091,1,1,0,0
56039057,1,1,0,0
56063416,1,1,0,0
56087058,1,1,0,0
56107061,1,1,0,0
56131080,1,1,0,0
56155056,1,1,0,0
56174993,1,1,0,0
56195056,1,1,0,0
56215069,1,1,0,0
56239060,1,1,0,0
56259090,1,1,0,0
56283066,1,1,0,0
56307085,1,1,0,0
56331090,1,1,0,0
56351256,1,1,0,0
56375057,1,1,0,0
56399090,1,1,0,0
56423259,1,1,0,0
56447214,1,1,0,0
56471062,1,1,0,0
56495400,1,1,0,0
56519063,1,1,0,0
56539075,1,1,0,0
56563065,1,1,0,0
56587080,1,1,0,0
56611079,1,1,0,0
56634980,1,1,0,0
56655076,1,1,0,0
56679068,1,1,0,0
56703058,1,1,0,0
56727226,1,1,0,0
56751058,1,1,0,0
56771071,1,1,0,0
56791089,1,1,0,0
56815055,1,1,0,0
56834980,1,1,0,0
56855248,1,1,0,0
56879071,1,1,0,0
56899085,1,1,0,0
56923062,1,1,0,0
56943079,1,1,0,0
56967057,1,1,0,0
56986993,1,1,0,0
57007199,1,1,0,0
57031055,1,1,0,0
57055088,1,1,0,0
57079055,1,1,0,0
57099093,1,1,0,0
57122979,1,1,0,0
57143239,1,1,0,0
57163080,1,1,0,0
57187076,1,1,0,0
57211101,1,1,0,0
57231056,1,1,0,0
57251388,1,1,0,0
57271080,1,1,0,0
57294994,1,1,0,0
57315054,1,1,0,0
57335057,1,1,0,0
57355090,1,1,0,0
57379092,1,1,0,0
57402980,1,1,0,0
57427188,1,1,0,0
57451068,1,1,0,0
57471062,1,1,0,0
57490997,1,1,0,0
57511057,1,1,0,0
57530979,1,1,0,0
57551089,1,1,0,0
57575237,1,1,0,0
57595066,1,1,0,0
57615093,1,1,0,0
57639061,1,1,0,0
57659088,1,1,0,0
57683236,1,1,0,0
57707082,1,1,0,0
57731068,1,1,0,0
57751065,1,1,0,0
57770990,1,1,0,0
57791246,1,1,0,0
57811075,1,1,0,0
57831116,1,1,0,0
57855089,1,1,0,0
57879174,1,1,0,0
57903055,1,1,0,0
57923058,1,1,0,0
57943078,1,1,0,0
57967103,1,1,0,0
57987093,1,1,0,0
58011055,1,1,0,0
58031059,1,1,0,0
58050996,1,1,0,0
58075061,1,1,0,0
58095117,1,1,0,0
58119062,1,1,0,0
58143063,1,1,0,0
58162994,1,1,0,0
58187234,1,1,0,0
58211056,1,1,0,0
58231069,1,1,0,0
58251188,1,1,0,0
58274984,1,1,0,0
58295239,1,1,0,0
58319091,1,1,0,0
58343083,1,1,0,0
58367415,1,1,0,0
58391092,1,1,0,0
58415074,1,1,0,0
58439262,1,1,0,0
58463064,1,1,0,0
58483079,1,1,0,0
58507071,1,1,0,0
58527100,1,1,0,0
58547510,1,1,0,0
58571060,1,1,0,0
58595068,1,1,0,0
58615071,1,1,0,0
58639092,1,1,0,0
58663060,1,1,0,0
58683070,1,1,0,0
58703071,1,1,0,0
58727240,1,1,0,0
58747081,1,1,0,0
58767079,1,1,0,0
58787874,1,1,0,0
58807874,1,1,0,0
58831869,1,1,0,0
58855877,1,1,0,0
58875874,1,1,0,0
58899874,1,1,0,0
58919881,1,1,0,0
58944073,1,1,0,0
58967876,1,1,0,0
58991871,1,1,0,0
59016124,1,1,0,0
59039879,1,1,0,0
59059900,1,1,0,0
59083870,1,1,0,0
59107872,1,1,0,0
59127867,1,1,0,0
59147870,1,1,0,0
59171889,1,1,0,0
59196064,1,1,0,0
59215877,1,1,0,0
59239793,1,1,0,0
59259792,1,1,0,0
59283876,1,1,0,0
59307878,1,1,0,0
59331866,1,1,0,0
59351865,1,1,0,0
59371869,1,1,0,0
59391873,1,1,0,0
59415868,1,1,0,0
59435875,1,1,0,0
59459887,1,1,0,0
59484069,1,1,0,0
59507877,1,1,0,0
59531870,1,1,0,0
59556057,1,1,0,0
59579796,1,1,0,0
59603867,1,1,0,0
59628066,1,1,0,0
59647874,1,1,0,0
59671869,1,1,0,0
59695871,1,1,0,0
59719796,1,1,0,0
59743863,1,1,0,0
59763887,1,1,0,0
59783872,1,1,0,0
59808054,1,1,0,0
59831865,1,1,0,0
59851873,1,1,0,0
59875864,1,1,0,0
59895870,1,1,0,0
59916102,1,1,0,0
59939874,1,1,0,0
59963877,1,1,0,0
59983875,1,1,0,0
60007870,1,1,0,0
60028006,1,1,0,0
60051874,1,1,0,0
60075873,1,1,0,0
60096130,1,1,0,0
60119869,1,1,0,0
60143874,1,1,0,0
60168217,1,1,0,0
60191870,1,1,0,0
60215862,1,1,0,0
60235883,1,1,0,0
60259870,1,1,0,0
60279874,1,1,0,0
60299891,1,1,0,0
60319874,1,1,0,0
60343875,1,1,0,0
60367874,1,1,0,0
60391882,1,1,0,0
60415864,1,1,0,0
60435864,1,1,0,0
60456081,1,1,0,0
60475875,1,1,0,0
60499792,1,1,0,0
60519879,1,1,0,0
60543885,1,1,0,0
60567872,1,1,0,0
60591885,1,1,0,0
60611870,1,1,0,0
60636101,1,1,0,0
60655874,1,1,0,0
60679799,1,1,0,0
60703885,1,1,0,0
60727865,1,1,0,0
60747873,1,1,0,0
60767874,1,1,0,0
60791874,1,1,0,0
60811875,1,1,0,0
60835864,1,1,0,0
60855873,1,1,0,0
60879883,1,1,0,0
60903869,1,1,0,0
60924096,1,1,0,0
60947869,1,1,0,0
60971887,1,1,0,0
60996069,1,1,0,0
61019880,1,1,0,0
61043869,1,1,0,0
61063886,1,1,0,0
61087866,1,1,0,0
61111873,1,1,0,0
61131875,1,1,0,0
61155871,1,1,0,0
61179873,1,1,0,0
61199876,1,1,0,0
61219896,1,1,0,0
61243878,1,1,0,0
61267870,1,1,0,0
61287903,1,1,0,0
61311871,1,1,0,0
61331876,1,1,0,0
61356105,1,1,0,0
61379889,1,1,0,0
61403879,1,1,0,0
61428202,1,1,0,0
61451868,1,1,0,0
61475866,1,1,0,0
61495875,1,1,0,0
61519797,1,1,0,0
61543887,1,1,0,0
61567871,1,1,0,0
61587875,1,1,0,0
61611869,1,1,0,0
61635873,1,1,0,0
61659800,1,1,0,0
61680103,1,1,0,0
61703866,1,1,0,0
61723872,1,1,0,0
61743874,1,1,0,0
61767883,1,1,0,0
61788065,1,1,0,0
61811872,1,1,0,0
61831876,1,1,0,0
61855869,1,1,0,0
61875867,1,1,0,0
61896072,1,1,0,0
61915810,1,1,0,0
61939878,1,1,0,0
61963872,1,1,0,0
61983885,1,1,0,0
62007863,1,1,0,0
62027873,1,1,0,0
62051873,1,1,0,0
62071992,1,1,0,0
62095867,1,1,0,0
