timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
15980642,1607726586000157,408160416,-778857302,357049,322607,1.259,0.668715,6.815,11.817,0.99,1.93,91,27,0.485,0.31,-0.373,-0.051,0.0618717,0,nan,0.0,3,1,9
16187741,1607726586200157,408160420,-778857304,357352,322910,1.279,0.668768,6.783,11.756,0.99,1.93,91,27,0.568,0.326,-0.465,-0.068,0.0618717,0,nan,0.0,3,1,9
16384661,1607726586400157,408160428,-778857304,357428,322986,1.147,0.668815,6.753,11.689,0.99,1.93,91,27,0.387,0.282,-0.266,0.026,0.0618717,0,nan,0.0,3,1,9
16581705,1607726586600157,408160426,-778857300,357645,323203,1.062,0.668858,6.717,11.621,0.99,1.93,91,27,0.373,0.105,-0.358,0.172,0.0618717,0,nan,0.0,3,1,9
16785708,1607726586800157,408160423,-778857286,357681,323238,1.298,0.668912,6.681,11.555,0.99,1.93,91,27,0.097,-0.022,0.095,0.476,0.0618717,0,nan,0.0,3,1,9
16984630,1607726587000157,408160427,-778857272,357682,323240,1.301,0.668965,6.647,11.496,0.99,1.93,91,27,0.469,0.097,0.459,0.429,0.0618717,0,nan,0.0,3,1,9
17186658,1607726587200157,408160427,-778857255,357641,323199,1.253,0.669016,6.601,11.437,0.99,1.93,91,24,0.27,0.021,0.269,0.492,0.0618717,0,nan,0.0,3,1,9
17383766,1607726587400157,408160415,-778857232,357795,323353,1.243,0.669067,6.555,11.376,0.99,1.93,91,24,0.216,-0.097,0.193,0.614,0.0618717,0,nan,0.0,3,1,9
17580621,1607726587600157,408160409,-778857219,358040,323597,1.08,0.669111,6.512,11.316,0.99,1.93,91,24,0.075,0.054,-0.051,0.333,0.0618717,0,nan,0.0,3,1,9
17784624,1607726587800157,408160404,-778857208,358109,323666,1.132,0.669158,6.47,11.26,0.99,1.93,91,24,0.058,0.048,0.033,0.338,0.0618717,0,nan,0.0,3,1,9
17983725,1607726588000157,408160397,-778857190,358127,323685,1.246,0.669209,6.426,11.205,0.99,1.93,91,24,0.234,-0.115,0.204,0.493,0.0618717,0,nan,0.0,3,1,9
18188677,1607726588200157,408160391,-778857172,358146,323704,1.251,0.66926,6.385,11.148,0.99,1.93,91,25,0.406,-0.114,0.39,0.547,0.0618717,0,nan,0.0,3,1,9
18377770,1607726588400157,408160388,-778857158,358184,323741,1.251,0.669311,6.346,11.1,0.99,1.93,91,25,0.094,-0.011,0.093,0.468,0.0618717,0,nan,0.0,3,1,9
