timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
33005208,32002255,800000.0,1.0,0.138716,22.0019,0.0,255,0,6,4,4,5,0,0,1,1,41
33011673,33008762,800000.0,1.0,0.138716,22.0019,0.0,255,0,6,4,4,5,0,0,1,1,41
33164792,0,1200.0,0.366756,0.0169173,0.563246,0.0,0,0,0,0,1,0,1,1,0,1,36
34004808,34003579,800000.0,1.0,0.13712,20.7683,0.0,255,0,6,4,4,5,0,0,1,1,41
34174283,0,1200.0,0.25787,0.0336976,0.298323,0.0,0,0,0,0,1,0,1,1,0,1,36
35008123,34003579,800000.0,1.0,0.138625,22.0793,0.0,255,0,6,4,4,5,0,0,1,1,41
35010830,35008767,800000.0,1.0,0.138625,22.0793,0.0,255,0,6,4,4,5,0,0,1,1,41
35183222,0,1200.0,0.25787,0.0168409,0.487397,0.0,0,0,0,0,1,0,1,1,0,1,36
36001615,36001469,800000.0,1.0,0.161609,21.9938,0.0,255,0,6,4,4,5,0,0,1,1,41
36191756,0,1200.0,0.25787,0.0,0.541371,0.0,0,0,0,0,1,0,1,1,0,1,36
37004772,36001469,800000.0,1.0,0.138574,21.9815,0.0,255,0,6,4,4,5,0,0,1,1,41
37013286,37010056,800000.0,1.0,0.138574,21.9815,0.0,255,0,6,4,4,5,0,0,1,1,41
37202443,0,1200.0,0.25787,0.0336403,0.402694,0.0,0,0,0,0,1,0,1,1,0,1,36
38004520,38004363,800000.0,1.0,0.13887,22.0284,0.0,255,0,6,4,4,5,0,0,1,1,41
38209707,0,1200.0,0.25787,0.0168774,0.401087,0.0,0,0,0,0,1,0,1,1,0,1,36
39007625,38004363,800000.0,1.0,0.138925,22.0371,0.0,255,0,6,4,4,5,0,0,1,1,41
39011717,39008418,800000.0,1.0,0.138925,22.0371,0.0,255,0,6,4,4,5,0,0,1,1,41
39210824,0,1200.0,0.25787,0.0,0.376579,0.0,0,0,0,0,1,0,1,1,0,1,36
40003904,40003697,800000.0,1.0,0.138571,21.9799,0.0,255,0,6,4,4,5,0,0,1,1,41
40213366,0,1200.0,0.25787,0.0339141,0.740125,0.0,0,0,0,0,1,0,1,1,0,1,36
41005189,41003378,800000.0,1.0,0.161737,22.0123,0.0,255,0,6,4,4,5,0,0,1,1,41
41215056,0,1200.0,0.25787,0.0169728,0.300518,0.0,0,0,0,0,1,0,1,1,0,1,36
42004721,42004374,800000.0,1.0,0.138748,22.009,0.0,255,0,6,4,4,5,0,0,1,1,41
42226266,0,1200.0,0.25787,0.000990286,0.487221,0.0,0,0,0,0,1,0,1,1,0,1,36
43004112,43003697,800000.0,1.0,0.138577,21.9799,0.0,255,0,6,4,4,5,0,0,1,1,41
43230121,0,1200.0,0.25787,0.0328348,0.299494,0.0,0,0,0,0,1,0,1,1,0,1,36
44005754,44004369,800000.0,1.0,0.13887,22.1853,0.0,255,0,6,4,4,5,0,0,1,1,41
44234023,0,1200.0,0.25787,0.0169318,0.61552,0.0,0,0,0,0,1,0,1,1,0,1,36
45007772,44004369,800000.0,1.0,0.138736,22.0071,0.0,255,0,6,4,4,5,0,0,1,1,41
45011524,45010858,800000.0,1.0,0.138736,22.0071,0.0,255,0,6,4,4,5,0,0,1,1,41
45234808,0,1200.0,0.25787,0.0169834,0.446564,0.0,0,0,0,0,1,0,1,1,0,1,36
46004046,46003995,800000.0,1.0,0.138629,21.9902,0.0,255,0,6,4,4,5,0,0,1,1,41
46235967,0,1200.0,0.25787,0.0169803,0.3456,0.0,0,0,0,0,1,0,1,1,0,1,36
47006141,47005955,800000.0,1.0,0.16147,21.9759,0.0,255,0,6,4,4,5,0,0,1,1,41
47240812,0,1200.0,0.25787,0.016918,0.299548,0.0,0,0,0,0,1,0,1,1,0,1,36
48006320,47005955,800000.0,1.0,0.13853,21.9745,0.0,255,0,6,4,4,5,0,0,1,1,41
48008947,48007121,800000.0,1.0,0.13853,21.9745,0.0,255,0,6,4,4,5,0,0,1,1,41
48251188,0,1200.0,0.25787,0.0168258,0.756171,0.0,0,0,0,0,1,0,1,1,0,1,36
49008373,49005174,800000.0,1.0,0.138522,22.3061,0.0,255,0,6,4,4,5,0,0,1,1,41
49261660,0,1200.0,0.25787,0.0168248,0.408744,0.0,0,0,0,0,1,0,1,1,0,1,36
50262816,0,1200.0,0.25787,0.016979,0.415486,0.0,0,0,0,0,1,0,1,1,0,1,36
51003754,51002847,800000.0,1.0,0.138926,22.0373,0.0,255,0,6,4,4,5,0,0,1,1,41
51266042,0,1200.0,0.25787,0.0169502,0.527449,0.0,0,0,0,0,1,0,1,1,0,1,36
52005259,52005115,800000.0,1.0,0.1385,22.1271,0.0,255,0,6,4,4,5,0,0,1,1,41
52276168,0,1200.0,0.25787,0.0168249,0.453284,0.0,0,0,0,0,1,0,1,1,0,1,36
53004842,53004657,800000.0,1.0,0.161581,21.9919,0.0,255,0,6,4,4,5,0,0,1,1,41
53278957,0,1200.0,0.25787,0.0169526,0.369966,0.0,0,0,0,0,1,0,1,1,0,1,36
54007953,54005507,800000.0,1.0,0.138427,21.9541,0.0,255,0,6,4,4,5,0,0,1,1,41
54283892,0,1200.0,0.25787,0.0169189,0.380179,0.0,0,0,0,0,1,0,1,1,0,1,36
55005211,55004914,800000.0,1.0,0.138835,22.0229,0.0,255,0,6,4,4,5,0,0,1,1,41
55290961,0,1200.0,0.25787,0.0168784,0.73173,0.0,0,0,0,0,1,0,1,1,0,1,36
56006914,56005633,800000.0,1.0,0.221987,22.7676,0.0,255,0,6,4,4,5,0,0,1,1,41
56301183,0,1200.0,0.25787,0.01683,0.378181,0.0,0,0,0,0,1,0,1,1,0,1,36
57008427,57008016,800000.0,1.0,0.138849,22.0829,0.0,255,0,6,4,4,5,0,0,1,1,41
57309753,0,1200.0,0.25787,0.0168533,0.298402,0.0,0,0,0,0,1,0,1,1,0,1,36
58007186,58006035,800000.0,1.0,0.228694,22.7386,0.0,255,0,6,4,4,5,0,0,1,1,41
58312867,0,1200.0,0.25787,0.0169472,0.436641,0.0,0,0,0,0,1,0,1,1,0,1,36
59004905,59004525,800000.0,1.0,0.161273,22.0347,0.0,255,0,6,4,4,5,0,0,1,1,41
59323117,0,1200.0,0.25787,0.0168301,0.571233,0.0,0,0,0,0,1,0,1,1,0,1,36
60004520,60004135,800000.0,1.0,0.227785,22.7465,0.0,255,0,6,4,4,5,0,0,1,1,41
60323753,0,1200.0,0.25787,0.0169866,0.487616,0.0,0,0,0,0,1,0,1,1,0,1,36
61006499,61003685,800000.0,1.0,0.138845,22.0244,0.0,255,0,6,4,4,5,0,0,1,1,41
61329707,0,1200.0,0.25787,0.0168993,0.299217,0.0,0,0,0,0,1,0,1,1,0,1,36
62007126,61003685,800000.0,1.0,0.229541,22.8813,0.0,255,0,6,4,4,5,0,0,1,1,41
62018485,62018012,800000.0,1.0,0.229541,22.8813,0.0,255,0,6,4,4,5,0,0,1,1,41
62337128,0,1200.0,0.25787,0.016877,0.418948,0.0,0,0,0,0,1,0,1,1,0,1,36
63009750,63007669,800000.0,1.0,0.138943,22.037,0.0,255,0,6,4,4,5,0,0,1,1,41
63344686,0,1200.0,0.25787,0.0168713,0.700654,0.0,0,0,0,0,1,0,1,1,0,1,36
