timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
33353033,0,0.0,0.0,0.0,0.0,-0.35961,-1.51053e-07,-1.89427e-07,0.0,-0.00629667,-0.00446731,-0.025643,-0.0405479,-3.77492e-05,-4.73389e-05,0.0,-0.00177744,-0.0126921,0.0130528,1.7087,0.0,0.1,0.025643,0.125962,0.252724,0.106539,0.108763,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
33449030,0,0.0,0.0,0.0,0.0,-0.363684,-1.51053e-07,-1.89427e-07,0.0,-0.0061322,-0.00492515,-0.0265431,-0.0411566,-3.77492e-05,-4.73389e-05,0.0,0.000414368,-0.00886467,0.00994683,1.70877,0.0,0.106445,0.0265431,0.128053,0.254936,0.107573,0.109334,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
33553821,0,0.0,0.0,0.0,0.0,-0.368259,-1.51053e-07,-1.89427e-07,0.0,-0.00571958,-0.00513223,-0.0275866,-0.0420214,-3.77492e-05,-4.73389e-05,0.0,-0.00541986,-0.0286943,0.00154912,1.70881,0.0,0.101022,0.0275866,0.126756,0.253756,0.106795,0.108992,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
33658643,0,0.0,0.0,0.0,0.0,-0.372168,-1.51053e-07,-1.89427e-07,0.0,-0.00585937,-0.00533435,-0.0278237,-0.0413682,-3.77492e-05,-4.73389e-05,0.0,-0.0974773,0.0326823,0.0485219,1.70891,0.0,0.108373,0.0278237,0.125595,0.252638,0.106131,0.108676,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
33755430,0,0.0,0.0,0.0,0.0,-0.373442,-1.51053e-07,-1.89427e-07,0.0,-0.00142027,-0.00603977,-0.0265593,-0.0371708,-3.77492e-05,-4.73389e-05,0.0,0.0158732,0.266693,0.0648731,1.7091,0.0,0.108715,0.0265593,0.125768,0.252858,0.106187,0.108723,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
33860236,0,0.0,0.0,0.0,0.0,-0.376638,-1.51053e-07,-1.89427e-07,0.0,-0.00971156,-0.00359871,-0.0290014,-0.0385518,-3.77492e-05,-4.73389e-05,0.0,0.289843,0.394757,-0.0381884,1.70939,0.0,0.1058,0.0290014,0.130679,0.25373,0.108743,0.108941,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
33957037,0,0.0,0.0,0.0,0.0,-0.378845,-1.51053e-07,-1.89427e-07,0.0,-0.0119994,-0.00362667,-0.0295791,-0.0372284,-3.77492e-05,-4.73389e-05,0.0,0.270994,0.600718,-0.0119919,1.70978,0.0,0.108006,0.0295791,0.139404,0.253878,0.113149,0.108961,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
34061832,0,0.0,0.0,0.0,0.0,-0.380235,-1.51053e-07,-1.89427e-07,0.0,-0.0130909,-0.00518384,-0.0305552,-0.0354921,-3.77492e-05,-4.73389e-05,0.0,-0.203905,0.0981959,-0.183102,1.71003,0.0,0.109396,0.0305552,0.149347,0.25262,0.117949,0.108615,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
34166643,0,0.0,0.0,0.0,0.0,-0.381714,-1.51053e-07,-1.89427e-07,0.0,-0.0126809,-0.00443479,-0.0305143,-0.0332423,-3.77492e-05,-4.73389e-05,0.0,-0.0238663,0.196515,0.0262298,1.71048,0.0,0.110875,0.0305143,0.15997,0.253507,0.122841,0.108846,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
34263477,0,0.0,0.0,0.0,0.0,-0.383944,-1.51053e-07,-1.89427e-07,0.0,-0.0132253,-0.00474856,-0.0303489,-0.0320374,-3.77492e-05,-4.73389e-05,0.0,0.0311673,0.139152,0.0120249,1.7109,0.0,0.113106,0.0303489,0.170303,0.253671,0.127423,0.108877,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
