timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
67901082,67901082,18,255,0,0,0,1511,1512,1104,1924,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
68111369,68111369,18,255,0,0,0,1511,1512,1104,1924,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
68310591,68310591,18,255,0,0,0,1511,1512,1104,1924,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
68520523,68520523,18,255,0,0,0,1511,1512,1104,1924,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
68712591,68712591,18,255,0,0,0,1511,1512,1104,1924,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
68926438,68926438,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
69121624,69121624,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
69329639,69329639,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
69527590,69527590,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
69737639,69737639,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
69931888,69931888,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
70142644,70142644,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
70340591,70340591,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
70533943,70533943,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
70746679,70746679,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
70941022,70941022,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
71152034,71152034,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
71349637,71349637,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
71557970,71557970,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
71751591,71751591,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
71962560,71962560,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
72158644,72158644,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
72352048,72352048,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
72564751,72564751,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
72758599,72758599,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
72970591,72970591,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
73165643,73165643,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
73375913,73375913,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
73575958,73575958,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
73785642,73785642,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
73977546,73977546,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
74188326,74188326,18,255,0,0,0,1510,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
74385630,74385630,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
74578745,74578745,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
74789644,74789644,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
74999689,74999689,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
75197769,75197769,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
75394598,75394598,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
75604228,75604228,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
75797118,75797118,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
76008608,76008608,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
76207709,76207709,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
76414654,76414654,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
76610897,76610897,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
76822896,76822896,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
77017946,77017946,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
77226591,77226591,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
77424854,77424854,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
77634591,77634591,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
77830934,77830934,18,255,0,0,0,1511,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
78040710,78040710,18,255,0,0,0,1512,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
78233638,78233638,18,255,0,0,0,1512,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
78430583,78430583,18,255,0,0,0,1511,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
78642895,78642895,18,255,0,0,0,1511,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
78853434,78853434,18,255,0,0,0,1512,1512,1104,1522,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
79048963,79048963,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
79259909,79259909,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
79454597,79454597,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
79651714,79651714,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
79862591,79862591,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
80056561,80056561,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
80266929,80266929,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
80460591,80460591,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
80671457,80671457,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
80865626,80865626,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
81079594,81079594,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
81272600,81272600,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
81467591,81467591,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
81680651,81680651,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
81875112,81875112,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
82085940,82085940,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
82279665,82279665,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
82491593,82491593,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
82686592,82686592,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
82899108,82899108,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
83094297,83094297,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
83304553,83304553,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
83499687,83499687,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
83711593,83711593,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
83904538,83904538,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
84115932,84115932,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
84311597,84311597,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
84524279,84524279,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
84717639,84717639,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
84913634,84913634,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
85123698,85123698,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
85320608,85320608,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
85530177,85530177,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
85725637,85725637,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
85937634,85937634,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
86131591,86131591,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
86342929,86342929,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
86537878,86537878,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
86748595,86748595,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
86944761,86944761,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
87153664,87153664,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
87352706,87352706,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
87559591,87559591,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
87758949,87758949,18,255,0,0,0,1512,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
87966644,87966644,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
88161952,88161952,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
88360045,88360045,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
88568056,88568056,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
88767453,88767453,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
88974331,88974331,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
89184976,89184976,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
89380538,89380538,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
89590929,89590929,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
89786591,89786591,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
89984059,89984059,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
90190208,90190208,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
90403595,90403595,18,255,0,0,0,1511,1512,1104,1524,964,964,964,1514,964,964,1514,1514,1514,1514,1514,1514,998,998,0,0,9
