timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
67912077,-0.0131872,-0.00232665,0.000170579,4003,0,-0.299185,0.295855,-9.67349,4003
67916071,-0.0131265,-0.00151353,-0.0010253,3994,0,-0.291403,0.312683,-9.71746,3994
67920075,-0.0121942,-0.00234825,-0.000525469,4004,0,-0.256833,0.294518,-9.71602,4004
67924073,-0.0115606,-0.00181429,-0.000402798,3998,0,-0.240183,0.310437,-9.69686,3998
67928071,-0.0117377,-0.000872764,-0.000977686,3998,0,-0.228769,0.298218,-9.68319,3998
67932092,-0.0126206,-0.00224222,-0.000442733,4021,0,-0.294468,0.290742,-9.66618,4021
67936072,-0.0125151,-0.00213653,-0.000440803,3980,0,-0.283893,0.272018,-9.68189,3980
67940076,-0.0133933,-0.00201231,4.41607e-05,4004,0,-0.280729,0.291375,-9.70819,4004
67944082,-0.0134783,-0.00245013,-0.000373089,4006,0,-0.246056,0.30273,-9.68141,4006
67948078,-0.0126539,-0.00062131,0.000141021,3996,0,-0.266514,0.304157,-9.67958,3996
67952074,-0.0128918,-0.00337695,0.000646486,3996,0,-0.297499,0.290956,-9.70673,3996
67956074,-0.012639,-0.00233758,-0.0001206,4000,0,-0.279108,0.27271,-9.70514,4000
67960872,-0.013519,-0.0020571,-0.000317718,4798,0,-0.233971,0.301084,-9.70331,4798
67964872,-0.0117899,-0.00160045,-0.000208148,4000,0,-0.237118,0.295507,-9.69161,4000
67968873,-0.0124977,-0.00132886,0.00134347,4001,0,-0.260976,0.300049,-9.65989,4001
67972874,-0.0129997,-0.00071537,0.000662525,4001,0,-0.27652,0.289831,-9.68257,4001
67976884,-0.0119243,-0.00157647,0.000423151,4010,0,-0.30512,0.300521,-9.69281,4010
67980864,-0.0138018,-0.00276616,-0.000274366,3980,0,-0.25676,0.308063,-9.72635,3980
67984870,-0.0134889,-0.00329597,-0.000240511,4006,0,-0.248637,0.275623,-9.70464,4006
67988874,-0.0131614,-0.00309074,-0.000336827,4004,0,-0.267013,0.288724,-9.68823,4004
67992874,-0.0124366,-0.00169204,8.32938e-05,4000,0,-0.279913,0.29847,-9.69805,4000
67996883,-0.0134112,-0.00167829,0.000458454,4009,0,-0.276762,0.293915,-9.68835,4009
68000895,-0.0123024,-0.000958155,-0.000362888,4012,0,-0.246912,0.289157,-9.6961,4012
68004864,-0.0127962,-0.000816028,0.000784715,3969,0,-0.239554,0.303789,-9.71083,3969
68008864,-0.0122753,-0.00187715,0.00105449,4000,0,-0.256069,0.305659,-9.68336,4000
68012874,-0.0126252,-0.00223386,-0.000332101,4010,0,-0.267194,0.302258,-9.68494,4010
68016872,-0.0113682,-0.00201399,3.98753e-05,3998,0,-0.287903,0.285998,-9.69567,3998
68020873,-0.012696,-0.00336633,0.000976371,4001,0,-0.253839,0.2915,-9.70166,4001
68024888,-0.0126262,-0.00203095,-0.000449878,4015,0,-0.262996,0.309982,-9.69431,4015
68028878,-0.0129604,-0.00105299,-7.34722e-05,3990,0,-0.276295,0.318761,-9.67861,3990
68032864,-0.012092,-0.0023451,-0.000412543,3986,0,-0.277566,0.28499,-9.68095,3986
