timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
67912077,0.00024303,-0.00020744,0.000671233,0.987207,-0.0118246,-0.0157877,0.15822,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
67944082,-6.38701e-05,-0.000333271,0.000126957,0.987208,-0.0118215,-0.0157845,0.158213,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
67976884,0.00148907,0.000540393,0.000921464,0.987207,-0.0118221,-0.0157785,0.158218,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68008864,0.00113601,0.000239739,0.00154779,0.987208,-0.0118242,-0.0157772,0.158215,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68040868,0.000534083,-0.00096152,0.000595036,0.987209,-0.0118195,-0.0157813,0.158206,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68073671,0.000286552,0.00055679,0.00127246,0.987211,-0.0118255,-0.0157719,0.158195,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68101672,-0.000495628,0.00199767,-9.07697e-05,0.987212,-0.0118232,-0.0157669,0.158188,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68133689,-0.00332459,4.3327e-05,0.00505971,0.987209,-0.011826,-0.0157738,0.158208,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68166480,-0.00134881,0.00782006,-0.00469278,0.987231,-0.0118268,-0.0157378,0.158072,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68198491,0.00215959,-0.000391167,0.0186655,0.987208,-0.0118497,-0.0157772,0.158212,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68230471,0.000493011,0.00407314,-0.0181324,0.987223,-0.0118278,-0.0157415,0.158122,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68259273,-0.00282618,0.00238956,-0.000982057,0.987252,-0.0118327,-0.0157321,0.157943,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68291273,0.00476977,-0.00760662,0.0193459,0.987221,-0.0118523,-0.0158214,0.158124,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68323271,0.00390364,0.00193534,-0.0246169,0.987239,-0.0118108,-0.0157517,0.158023,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68356070,-0.00155245,0.00125116,0.0262035,0.987271,-0.0118487,-0.0157046,0.157824,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68388075,0.0230628,-0.00246899,0.0201812,0.987191,-0.0118623,-0.0158622,0.15831,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68416878,-0.00703896,0.00379018,-0.0636934,0.987272,-0.011731,-0.0157664,0.157825,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68448873,0.0240176,-0.00906216,0.0669836,0.987315,-0.0118242,-0.0157379,0.15755,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
68480873,0.0172258,0.00488633,0.0332216,0.987158,-0.0118631,-0.015843,0.158515,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
