timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
67904996,0.21776,-0.113443,0.427709
67925629,0.21776,-0.116395,0.408867
67946591,0.21776,-0.119347,0.405726
67966585,0.21776,-0.122299,0.393165
67990202,0.220747,-0.119347,0.412007
68012600,0.21776,-0.119347,0.421428
68034594,0.21776,-0.122299,0.399446
68056597,0.214773,-0.116395,0.418288
68076598,0.21776,-0.116395,0.405726
68098613,0.214773,-0.116395,0.418288
68122619,0.21776,-0.116395,0.415148
68145490,0.220747,-0.116395,0.424569
68166910,0.214773,-0.116395,0.408867
68189633,0.214773,-0.116395,0.402586
68212055,0.214773,-0.116395,0.418288
68234581,0.214773,-0.113443,0.43713
68257640,0.21776,-0.119347,0.418288
68278651,0.211786,-0.116395,0.405726
68300682,0.214773,-0.116395,0.424569
68322603,0.214773,-0.119347,0.399446
68344700,0.214773,-0.116395,0.424569
68367593,0.214773,-0.119347,0.421428
68389635,0.211786,-0.119347,0.412007
68411594,0.214773,-0.116395,0.405726
68432591,0.214773,-0.119347,0.386884
68456591,0.214773,-0.113443,0.415148
68477984,0.21776,-0.116395,0.418288
68499595,0.21776,-0.119347,0.418288
68521631,0.214773,-0.113443,0.424569
68543591,0.21776,-0.119347,0.402586
68564591,0.21776,-0.119347,0.399446
68586621,0.214773,-0.119347,0.399446
68608597,0.214773,-0.113443,0.424569
68631395,0.21776,-0.116395,0.402586
68655394,0.214773,-0.116395,0.421428
68679141,0.214773,-0.122299,0.399446
68702606,0.214773,-0.116395,0.427709
68725638,0.214773,-0.119347,0.408867
68745643,0.21776,-0.113443,0.427709
68767908,0.21776,-0.113443,0.418288
68790591,0.214773,-0.116395,0.399446
68811596,0.211786,-0.116395,0.402586
68833625,0.214773,-0.113443,0.430849
68855591,0.220747,-0.119347,0.405726
68878593,0.21776,-0.122299,0.399446
68900594,0.223735,-0.119347,0.418288
68924605,0.214773,-0.119347,0.424569
68947593,0.21776,-0.119347,0.408867
68968602,0.214773,-0.113443,0.430849
68990883,0.21776,-0.116395,0.402586
69012600,0.214773,-0.116395,0.412007
69033624,0.21776,-0.125251,0.393165
69054658,0.214773,-0.116395,0.412007
69076591,0.214773,-0.113443,0.43399
69096591,0.21776,-0.113443,0.405726
69119103,0.211786,-0.116395,0.412007
69143091,0.214773,-0.119347,0.402586
69166591,0.21776,-0.116395,0.412007
69188752,0.21776,-0.113443,0.421428
69209634,0.214773,-0.116395,0.393165
69230597,0.220747,-0.119347,0.402586
69251591,0.211786,-0.116395,0.418288
69273031,0.21776,-0.113443,0.430849
69293647,0.220747,-0.116395,0.408867
69314598,0.21776,-0.110491,0.399446
69335597,0.208798,-0.119347,0.402586
69357635,0.220747,-0.116395,0.412007
69379711,0.214773,-0.116395,0.399446
69400646,0.21776,-0.110491,0.421428
69421868,0.220747,-0.116395,0.408867
69445639,0.220747,-0.116395,0.418288
69469645,0.21776,-0.116395,0.418288
69493645,0.21776,-0.113443,0.396305
69517628,0.220747,-0.116395,0.424569
69540591,0.214773,-0.113443,0.402586
69561647,0.21776,-0.116395,0.424569
69584591,0.214773,-0.119347,0.408867
69605633,0.21776,-0.113443,0.415148
69626591,0.214773,-0.116395,0.396305
69649772,0.21776,-0.119347,0.402586
69672593,0.214773,-0.113443,0.430849
69694597,0.21776,-0.113443,0.43713
69717027,0.21776,-0.116395,0.418288
69739596,0.220747,-0.110491,0.396305
69762601,0.220747,-0.116395,0.408867
69784823,0.21776,-0.113443,0.412007
69808591,0.21776,-0.113443,0.424569
69828595,0.214773,-0.113443,0.402586
69849638,0.21776,-0.116395,0.405726
69871591,0.21776,-0.113443,0.421428
69892591,0.21776,-0.113443,0.430849
69914693,0.21776,-0.110491,0.440271
69935593,0.21776,-0.116395,0.412007
