timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
412713676,32767,32767,32767,32767,-67,32767,32767
412717671,32767,32767,-909,32767,32767,32767,32767
412721673,32767,32767,32767,32767,32767,32767,32767
412725678,32767,32767,32767,32767,-67,-91,32767
412729674,32767,32767,32767,32767,32767,32767,32767
412734464,32767,32767,32767,32767,-55,32767,32767
412738464,32767,32767,32767,32767,32767,32767,32767
412742481,32767,32767,32767,32767,32767,32767,32767
412746471,32767,32767,32767,32767,32767,-73,32767
412750472,32767,32767,32767,32767,32767,32767,32767
412754471,32767,32767,32767,32767,32767,32767,32767
412758477,32767,32767,32767,32767,-65,32767,32767
412762477,32767,32767,32767,32767,32767,32767,32767
412766463,32767,32767,32767,32767,32767,32767,32767
412770471,32767,32767,32767,32767,-64,-73,32767
412774472,32767,32767,32767,32767,32767,32767,32767
412778473,32767,32767,32767,32767,-45,32767,32767
412782473,32767,32767,32767,32767,32767,32767,32767
412786470,32767,32767,32767,32767,32767,32767,32767
412790472,32767,32767,32767,32767,32767,-67,32767
412794463,32767,32767,32767,32767,32767,32767,32767
412798473,32767,32767,32767,32767,32767,32767,32767
412802473,32767,32767,32767,32767,-67,32767,32767
412806473,32767,32767,32767,32767,32767,32767,32767
412810472,32767,32767,32767,32767,32767,32767,32767
412814477,32767,32767,32767,32767,-61,-70,32767
412818478,32767,32767,32767,32767,32767,32767,32767
412822464,32767,32767,32767,32767,-45,32767,32767
412826486,32767,32767,32767,32767,32767,32767,32767
412830471,32767,32767,32767,32767,32767,32767,32767
412834473,32767,32767,-101,32767,32767,-59,32767
412839272,32767,32767,32767,32767,32767,32767,32767
412843270,32767,32767,32767,32767,32767,32767,32767
412847270,32767,32767,32767,32767,-66,32767,32767
412851274,32767,32767,32767,32767,32767,32767,32767
412855286,32767,32767,32767,32767,32767,32767,32767
412859266,32767,32767,32767,32767,-63,-72,32767
412863270,32767,32767,32767,32767,32767,32767,32767
412867270,32767,32767,32767,32767,32767,32767,32767
412871262,32767,32767,32767,32767,-62,32767,32767
412875271,32767,32767,32767,32767,32767,32767,32767
412879272,32767,32767,32767,32767,32767,32767,32767
412883278,32767,32767,32767,32767,32767,-86,32767
412887263,32767,32767,32767,32767,32767,32767,32767
412891270,32767,32767,32767,32767,-44,32767,32767
412895271,32767,32767,32767,32767,32767,32767,32767
412899256,32767,32767,32767,32767,32767,32767,32767
412903273,32767,32767,32767,32767,-47,-56,32767
412907270,32767,32767,32767,32767,32767,32767,32767
412911276,32767,32767,32767,32767,32767,32767,32767
