timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
795119397,795119264,0.0216569,0.0162468,0.000282519,0.03,0.0,0.0,0.0,-1.0
795220213,795220076,0.021716,0.0162283,0.000384948,0.03,0.0,0.0,0.0,-1.0
795320996,795320871,0.0217049,0.0161367,0.000219654,0.03,0.0,0.0,0.0,-1.0
795425804,795425676,0.0227496,0.0162444,0.000458679,0.03,0.0,0.0,0.0,-1.0
795526604,795526471,0.0219756,0.0146945,0.000246976,0.03,0.0,0.0,0.0,-1.0
795627395,795627270,0.0209466,0.0148587,0.00422497,0.03,0.0,0.0,0.0,-1.0
795728235,795728079,0.0215234,0.0163463,0.0010942,0.03,0.0,0.0,0.0,-1.0
795828992,795828863,0.0210964,0.0152516,-0.000173347,0.03,0.0,0.0,0.0,-1.0
795929790,795929670,0.0207181,0.0146192,0.00165967,0.03,0.0,0.0,0.0,-1.0
796034625,796034494,0.0230441,0.0179154,0.00406502,0.03,0.0,0.0,0.0,-1.0
796135407,796135277,0.0227597,0.0187356,0.00265883,0.03,0.0,0.0,0.0,-1.0
796236200,796236070,0.0117181,0.015898,-0.0149439,0.03,0.0,0.0,0.0,-1.0
796337000,796336873,0.0184254,0.0131009,0.00467959,0.03,0.0,0.0,0.0,-1.0
796437809,796437675,0.0232446,0.0139149,-0.00193872,0.03,0.0,0.0,0.0,-1.0
796542598,796542463,0.0158427,0.0161389,-0.00629292,0.03,0.0,0.0,0.0,-1.0
796643433,796643307,0.0236746,0.0135586,0.0202584,0.03,0.0,0.0,0.0,-1.0
796744200,796744070,0.0217791,0.0174239,-0.00308264,0.03,0.0,0.0,0.0,-1.0
796845012,796844893,0.0212965,0.00893924,0.000887236,0.03,0.0,0.0,0.0,-1.0
796945800,796945664,0.0262594,0.0145669,-0.00135409,0.03,0.0,0.0,0.0,-1.0
797046611,797046472,0.0207961,0.0146714,-0.00579926,0.03,0.0,0.0,0.0,-1.0
797151398,797151272,0.0234573,0.0148866,-0.000179967,0.03,0.0,0.0,0.0,-1.0
797252242,797252105,0.0235272,0.014671,0.0085189,0.03,0.0,0.0,0.0,-1.0
797353001,797352873,0.015615,0.0191633,0.00233213,0.03,0.0,0.0,0.0,-1.0
797453802,797453675,0.0211917,0.0119996,-0.00625473,0.03,0.0,0.0,0.0,-1.0
797554603,797554472,0.0235262,0.0229775,-0.00297705,0.03,0.0,0.0,0.0,-1.0
797655395,797655263,0.0197636,0.0146925,-0.00437678,0.03,0.0,0.0,0.0,-1.0
797760217,797760073,0.0222954,0.0195572,0.00600403,0.03,0.0,0.0,0.0,-1.0
797861020,797860900,0.0121457,0.010389,4.26439e-06,0.03,0.0,0.0,0.0,-1.0
797961804,797961675,0.0288497,0.0211415,-0.00285472,0.03,0.0,0.0,0.0,-1.0
798062605,798062473,0.0196451,0.0121244,-0.00718207,0.03,0.0,0.0,0.0,-1.0
798163399,798163272,0.0238334,0.0154103,0.00484568,0.03,0.0,0.0,0.0,-1.0
798263409,798263276,0.02545,0.0148194,0.00937789,0.03,0.0,0.0,0.0,-1.0
799077807,799077672,0.0220789,0.00809539,0.00448209,0.03,0.0,0.0,0.0,-1.0
799178607,799178473,0.0200742,0.0120082,0.00776334,0.03,0.0,0.0,0.0,-1.0
799279399,799279273,0.0134157,0.0164869,-0.00154404,0.03,0.0,0.0,0.0,-1.0
799384209,799384064,0.0251615,0.0156324,-0.00396697,0.03,0.0,0.0,0.0,-1.0
799485013,799484884,0.0202616,0.00957693,0.000299424,0.03,0.0,0.0,0.0,-1.0
799585807,799585679,0.0204749,0.0146729,0.00642429,0.03,0.0,0.0,0.0,-1.0
799686615,799686487,0.0174053,0.0113134,0.00286453,0.03,0.0,0.0,0.0,-1.0
799787396,799787267,0.0250905,0.018932,-0.00109804,0.03,0.0,0.0,0.0,-1.0
799888207,799888074,0.0216007,0.0125032,-0.00866676,0.03,0.0,0.0,0.0,-1.0
799993017,799992872,0.0253221,0.0144838,0.00333813,0.03,0.0,0.0,0.0,-1.0
800093810,800093674,0.0229354,0.0152605,0.00657839,0.03,0.0,0.0,0.0,-1.0
800194609,800194471,0.0230995,0.0175558,0.00233447,0.03,0.0,0.0,0.0,-1.0
800295404,800295274,0.0230021,0.0136136,-0.00929704,0.03,0.0,0.0,0.0,-1.0
800396220,800396086,0.0222225,0.0226261,-0.0036324,0.03,0.0,0.0,0.0,-1.0
800500998,800500872,0.0244361,0.0161621,0.00901405,0.03,0.0,0.0,0.0,-1.0
800601797,800601671,0.0199665,0.0177871,0.00463921,0.03,0.0,0.0,0.0,-1.0
