timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
16140588,16140442,0.0118178,0.00541223,8.2796e-05,0.03,0.0,0.0,0.0,-1.0
16241409,16241274,0.0118378,0.00527028,-2.35579e-05,0.03,0.0,0.0,0.0,-1.0
16346183,16346042,0.0119518,0.00544393,1.78698e-08,0.03,0.0,0.0,0.0,-1.0
16446981,16446843,0.011885,0.00521594,-9.01343e-05,0.03,0.0,0.0,0.0,-1.0
16546968,16546832,0.0121025,0.00522768,-0.000220339,0.03,0.0,0.0,0.0,-1.0
16647789,16647652,0.0120293,0.0054752,-7.92754e-05,0.03,0.0,0.0,0.0,-1.0
16748583,16748444,0.0120456,0.00553023,0.000117442,0.03,0.0,0.0,0.0,-1.0
16853383,16853248,0.0118438,0.00541269,-0.000260383,0.03,0.0,0.0,0.0,-1.0
16954176,16954033,0.0118357,0.00536559,-0.000169039,0.03,0.0,0.0,0.0,-1.0
17054992,17054845,0.0117837,0.00530624,9.56391e-05,0.03,0.0,0.0,0.0,-1.0
17155785,17155642,0.0117708,0.0052631,-0.000162886,0.03,0.0,0.0,0.0,-1.0
17256597,17256451,0.0116861,0.00527111,-0.00021335,0.03,0.0,0.0,0.0,-1.0
17361413,17361279,0.0119326,0.0052845,-0.000131078,0.03,0.0,0.0,0.0,-1.0
17461387,17461252,0.0119336,0.00541285,-8.7924e-05,0.03,0.0,0.0,0.0,-1.0
17562983,17562846,0.0116961,0.00527752,-0.000170371,0.03,0.0,0.0,0.0,-1.0
17662974,17662834,0.0117998,0.00529108,-0.000131501,0.03,0.0,0.0,0.0,-1.0
17763797,17763652,0.0118593,0.00527313,7.11929e-05,0.03,0.0,0.0,0.0,-1.0
17868593,17868441,0.0115385,0.0052813,-0.000201938,0.03,0.0,0.0,0.0,-1.0
17969396,17969256,0.0117142,0.00534435,-0.000111368,0.03,0.0,0.0,0.0,-1.0
18070193,18070033,0.0116108,0.00542766,-6.61365e-05,0.03,0.0,0.0,0.0,-1.0
18170981,18170842,0.0116136,0.00532841,-8.16964e-05,0.03,0.0,0.0,0.0,-1.0
18271779,18271641,0.0116819,0.00550556,-0.000323786,0.03,0.0,0.0,0.0,-1.0
18371800,18371645,0.0117843,0.00545664,-0.000183888,0.03,0.0,0.0,0.0,-1.0
18476606,18476468,0.0117272,0.00515679,-0.000128368,0.03,0.0,0.0,0.0,-1.0
18577395,18577258,0.0118464,0.00546062,-5.95174e-05,0.03,0.0,0.0,0.0,-1.0
18678198,18678053,0.0116477,0.00548715,-0.000148721,0.03,0.0,0.0,0.0,-1.0
18778970,18778829,0.0116455,0.00536839,-0.000123518,0.03,0.0,0.0,0.0,-1.0
18883817,18883651,0.0117519,0.00560858,-0.000157747,0.03,0.0,0.0,0.0,-1.0
18984595,18984440,0.0116918,0.00552687,-8.27785e-05,0.03,0.0,0.0,0.0,-1.0
19085401,19085266,0.011451,0.00563119,-0.000172546,0.03,0.0,0.0,0.0,-1.0
19186207,19186041,0.0119142,0.00548478,-8.195e-05,0.03,0.0,0.0,0.0,-1.0
19286984,19286847,0.0115362,0.00546895,-0.000205765,0.03,0.0,0.0,0.0,-1.0
19390985,19390850,0.0117377,0.00546976,-0.000133545,0.03,0.0,0.0,0.0,-1.0
19491781,19491646,0.0118153,0.00539731,-0.000279067,0.03,0.0,0.0,0.0,-1.0
19592591,19592444,0.0116454,0.0054437,-2.28195e-05,0.03,0.0,0.0,0.0,-1.0
19693414,19693267,0.0116724,0.00546437,-1.17358e-05,0.03,0.0,0.0,0.0,-1.0
20302185,20302043,0.0117034,0.0054885,-6.46118e-06,0.03,0.0,0.0,0.0,-1.0
20506972,20506833,0.0116238,0.00556257,2.95475e-05,0.03,0.0,0.0,0.0,-1.0
20607777,20607640,0.0118534,0.00541777,-0.000230223,0.03,0.0,0.0,0.0,-1.0
