timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
33344235,0.656718,-0.000241403,-0.0202244,0.753865,-0.00515534,-0.00355522,-0.0306623,-0.0019391,-0.00236796,-0.369553,-4.20764e-05,-1.44079e-05,8.30917e-06,2.8467e-05,-3.10791e-05,0.000782094,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,1.10618e-10,5.99739e-06,0.000643225,6.72392e-05,7.48047e-05,7.47055e-05,5.02451e-05,0.00575469,0.00575488,0.0119091,0.00810524,0.00810541,0.0645529,1.63934e-11,1.64608e-11,3.0267e-10,1.77897e-06,1.77859e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.127321,0.254073,0.000244657,0.0,4.69621e-05,0.0395245,0.0,0.0,0.0,0.011986,488,0,0,165,24,0,0,0
33553821,0.656668,-0.000237472,-0.020244,0.753908,-0.00533117,-0.00409167,-0.0273419,-0.00243482,-0.00247247,-0.367237,-4.20674e-05,-1.4399e-05,8.2824e-06,2.84787e-05,-3.11432e-05,0.0007791,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,1.047e-10,5.79618e-06,0.000646978,6.61973e-05,7.47711e-05,7.46725e-05,4.94599e-05,0.00570251,0.00570266,0.0118792,0.00803348,0.00803363,0.0643923,1.61457e-11,1.62107e-11,2.91684e-10,1.77895e-06,1.77857e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.126756,0.253756,0.0313452,0.0,4.89129e-05,0.00512533,0.0,0.0,0.0,0.011986,488,0,0,165,24,0,0,0
33755430,0.656443,-0.000214703,-0.0202301,0.754105,-0.00498766,-0.00426697,-0.0259044,-0.00270673,-0.00260946,-0.364727,-4.20664e-05,-1.43795e-05,7.91321e-06,2.84963e-05,-3.12167e-05,0.00077632,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,2.53112e-10,1.09491e-05,0.00108483,6.54318e-05,7.47373e-05,7.46394e-05,4.88843e-05,0.00563779,0.00563789,0.0118207,0.00790869,0.00790881,0.063937,1.59155e-11,1.59786e-11,2.82281e-10,1.77893e-06,1.77856e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531,0.125768,0.252858,0.0109153,0.0,5.42396e-05,0.0119582,0.0,0.0,0.0,0.011986,488,0,0,165,24,0,0,0
33957037,0.656056,-0.000185139,-0.0202345,0.754441,-0.00372492,-0.00367293,-0.0255675,-0.00336288,-0.0034037,-0.367419,-4.20782e-05,-1.43605e-05,7.36566e-06,2.85096e-05,-3.12348e-05,0.000775568,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,1.02525e-09,3.00258e-05,0.00221146,6.46971e-05,7.48901e-05,7.47927e-05,4.83163e-05,0.00640134,0.00640141,0.0118725,0.00971669,0.00971685,0.0644538,1.59421e-11,1.60029e-11,2.73305e-10,1.77893e-06,1.77855e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.139404,0.253878,0.0368297,0.0,3.40378e-06,0.00785525,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
34158644,0.655927,-0.000132113,-0.0202128,0.754553,-0.0118086,-0.00273906,-0.0299438,-0.00541858,-0.00424185,-0.37502,-4.20858e-05,-1.43517e-05,7.07839e-06,2.85201e-05,-3.12379e-05,0.000776449,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,8.13689e-10,2.7088e-05,0.00210831,6.42795e-05,7.50997e-05,7.5003e-05,4.80119e-05,0.00749892,0.00749904,0.011807,0.0126616,0.0126619,0.063917,1.60395e-11,1.60982e-11,2.65652e-10,1.77893e-06,1.77855e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.159134,0.252818,0.0155396,0.0,5.33027e-06,0.00432011,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
34360233,0.655645,-9.52367e-05,-0.0201939,0.754799,-0.0124583,-0.00567252,-0.0315774,-0.00791245,-0.00515012,-0.385882,-4.20959e-05,-1.43404e-05,6.70708e-06,2.85373e-05,-3.12464e-05,0.000778436,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,6.46545e-10,2.39095e-05,0.00188897,6.35687e-05,7.53144e-05,7.52186e-05,4.74621e-05,0.0087192,0.00871937,0.0118592,0.0164051,0.0164054,0.0644209,1.6138e-11,1.61943e-11,2.5738e-10,1.77893e-06,1.77855e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.181137,0.253813,0.0317788,0.0,7.81278e-06,0.000475273,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
34561822,0.655446,-0.000115616,-0.0201754,0.754972,-0.0151605,-0.00559876,-0.0307881,-0.0106459,-0.00611078,-0.390615,-4.21045e-05,-1.43298e-05,6.36924e-06,2.85431e-05,-3.12478e-05,0.000778035,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,5.09126e-10,2.01474e-05,0.00173133,6.28619e-05,7.55333e-05,7.5438e-05,4.69321e-05,0.010064,0.0100642,0.0119069,0.0210718,0.0210721,0.0648941,1.62356e-11,1.62897e-11,2.49448e-10,1.77893e-06,1.77855e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.20529,0.254743,0.0309596,0.0,1.04067e-05,0.0145395,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
34770643,0.655342,-0.000125083,-0.0201807,0.755063,-0.0164038,-0.00574895,-0.0340277,-0.0138996,-0.00731126,-0.407647,-4.2108e-05,-1.43268e-05,6.25489e-06,2.85611e-05,-3.12651e-05,0.00078195,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,4.08589e-10,1.75036e-05,0.00153092,6.25596e-05,7.57651e-05,7.56701e-05,4.66941e-05,0.0115997,0.0115999,0.0118812,0.0270603,0.0270608,0.0647017,1.63365e-11,1.63887e-11,2.42698e-10,1.77893e-06,1.77855e-06,5.00001e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.232639,0.254365,0.00426149,0.0,1.36404e-05,0.00745913,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
34972232,0.655059,-7.4221e-05,-0.0201686,0.755309,-0.0169727,-0.00617239,-0.0329221,-0.017223,-0.00853566,-0.415291,-4.21172e-05,-1.43155e-05,5.8917e-06,2.85719e-05,-3.12725e-05,0.000782449,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,3.59154e-10,1.60832e-05,0.00150951,6.18816e-05,7.59909e-05,7.58966e-05,4.61688e-05,0.0132124,0.0132127,0.0118118,0.0340756,0.0340763,0.0641356,1.6431e-11,1.64811e-11,2.35367e-10,1.77893e-06,1.77855e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.261059,0.25325,0.00837604,0.0,1.72254e-05,0.00828543,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
35173831,0.654929,-4.74682e-05,-0.0201459,0.755422,-0.0160534,-0.00730573,-0.0360429,-0.0205303,-0.00986805,-0.430538,-4.21209e-05,-1.43115e-05,5.75206e-06,2.85867e-05,-3.12926e-05,0.000785769,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,3.1285e-10,1.46913e-05,0.00148395,6.15066e-05,7.62196e-05,7.61258e-05,4.58737e-05,0.0149646,0.014965,0.0117473,0.0424938,0.0424946,0.063592,1.65237e-11,1.65721e-11,2.29114e-10,1.77893e-06,1.77855e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.291528,0.252175,0.00518073,0.0,2.05374e-05,0.0290661,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
35375423,0.654758,-5.24712e-05,-0.0201251,0.755571,-0.0184184,-0.00723798,-0.0340319,-0.0238907,-0.0112494,-0.428633,-4.21244e-05,-1.43049e-05,5.56596e-06,2.85812e-05,-3.12839e-05,0.000782337,0.195863,-0.036372,0.363376,0.0,0.0,0.0,0.0,0.0,2.73219e-10,1.37368e-05,0.00150423,6.08447e-05,7.64515e-05,7.63583e-05,4.53623e-05,0.0168663,0.0168668,0.0118063,0.0525186,0.0525197,0.0640988,1.66146e-11,1.6661e-11,2.22318e-10,1.77893e-06,1.77855e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659,0.324096,0.253177,0.0157517,0.0,2.38925e-05,0.0357392,0.0,0.0,0.0,0.011986,40,0,0,165,24,0,0,0
