timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
669359568,0.0,-0.0,0.155081,0.0,0.996995,0.0,0.0,0.0774629,0.0,0.0,-0.03,1,0,0,0,0,0
669460388,0.0,-0.0,0.15498,0.0,0.996999,0.0,0.0,0.0774126,0.0,0.0,-0.03,1,0,0,0,0,0
669561970,0.0,-0.0,0.154846,0.0,0.997004,0.0,0.0,0.0773456,0.0,0.0,-0.03,1,0,0,0,0,0
669662752,0.0,-0.0,0.154577,0.0,0.997015,0.0,0.0,0.0772118,0.0,0.0,-0.03,1,0,0,0,0,0
669763552,0.0,-0.0,0.154412,0.0,0.997021,0.0,0.0,0.0771294,0.0,0.0,-0.03,1,0,0,0,0,0
669864374,0.0,-0.0,0.154041,0.0,0.997035,0.0,0.0,0.0769443,0.0,0.0,-0.03,1,0,0,0,0,0
669965165,0.0,-0.0,0.153911,0.0,0.99704,0.0,0.0,0.0768794,0.0,0.0,-0.03,1,0,0,0,0,0
670069968,0.0,-0.0,0.153547,0.0,0.997054,0.0,0.0,0.0766979,0.0,0.0,-0.03,1,0,0,0,0,0
670170778,0.0,-0.0,0.153022,0.0,0.997074,0.0,0.0,0.0764366,0.0,0.0,-0.03,1,0,0,0,0,0
670271557,0.0,-0.0,0.152197,0.0,0.997106,0.0,0.0,0.0760251,0.0,0.0,-0.03,1,0,0,0,0,0
670372364,0.0,-0.0,0.152478,0.0,0.997095,0.0,0.0,0.0761651,0.0,0.0,-0.03,1,0,0,0,0,0
670473150,0.0,-0.0,0.152464,0.0,0.997096,0.0,0.0,0.0761582,0.0,0.0,-0.03,1,0,0,0,0,0
670577954,0.0,-0.0,0.153133,0.0,0.99707,0.0,0.0,0.0764918,0.0,0.0,-0.03,1,0,0,0,0,0
670678760,0.0,-0.0,0.151876,0.0,0.997118,0.0,0.0,0.075865,0.0,0.0,-0.03,1,0,0,0,0,0
670779590,0.0,-0.0,0.153607,0.0,0.997052,0.0,0.0,0.0767282,0.0,0.0,-0.03,1,0,0,0,0,0
670880352,0.0,-0.0,0.151946,0.0,0.997115,0.0,0.0,0.0758998,0.0,0.0,-0.03,1,0,0,0,0,0
670981165,0.0,-0.0,0.150576,0.0,0.997167,0.0,0.0,0.0752167,0.0,0.0,-0.03,1,0,0,0,0,0
671081975,0.0,-0.0,0.150466,0.0,0.997171,0.0,0.0,0.0751618,0.0,0.0,-0.03,1,0,0,0,0,0
671186776,0.0,-0.0,0.150193,0.0,0.997182,0.0,0.0,0.0750258,0.0,0.0,-0.03,1,0,0,0,0,0
671287558,0.0,-0.0,0.150227,0.0,0.99718,0.0,0.0,0.075043,0.0,0.0,-0.03,1,0,0,0,0,0
671388524,0.0,-0.0,0.150037,0.0,0.997187,0.0,0.0,0.074948,0.0,0.0,-0.03,1,0,0,0,0,0
671489160,0.0,-0.0,0.149303,0.0,0.997215,0.0,0.0,0.0745824,0.0,0.0,-0.03,1,0,0,0,0,0
671589947,0.0,-0.0,0.149021,0.0,0.997225,0.0,0.0,0.0744415,0.0,0.0,-0.03,1,0,0,0,0,0
671690764,0.0,-0.0,0.149158,0.0,0.99722,0.0,0.0,0.0745097,0.0,0.0,-0.03,1,0,0,0,0,0
671795568,0.0,-0.0,0.14895,0.0,0.997228,0.0,0.0,0.0744064,0.0,0.0,-0.03,1,0,0,0,0,0
671896362,0.0,-0.0,0.148665,0.0,0.997239,0.0,0.0,0.0742643,0.0,0.0,-0.03,1,0,0,0,0,0
671997171,0.0,-0.0,0.147875,0.0,0.997268,0.0,0.0,0.07387,0.0,0.0,-0.03,1,0,0,0,0,0
672097935,0.0,-0.0,0.147737,0.0,0.997273,0.0,0.0,0.0738013,0.0,0.0,-0.03,1,0,0,0,0,0
672198762,0.0,-0.0,0.147767,0.0,0.997272,0.0,0.0,0.0738162,0.0,0.0,-0.03,1,0,0,0,0,0
672299560,0.0,-0.0,0.147633,0.0,0.997277,0.0,0.0,0.0737493,0.0,0.0,-0.03,1,0,0,0,0,0
672404351,0.0,-0.0,0.146849,0.0,0.997306,0.0,0.0,0.0733585,0.0,0.0,-0.03,1,0,0,0,0,0
672505164,0.0,-0.0,0.146751,0.0,0.997309,0.0,0.0,0.0733095,0.0,0.0,-0.03,1,0,0,0,0,0
672605979,0.0,-0.0,0.146749,0.0,0.997309,0.0,0.0,0.0733087,0.0,0.0,-0.03,1,0,0,0,0,0
672706756,0.0,-0.0,0.147173,0.0,0.997294,0.0,0.0,0.0735202,0.0,0.0,-0.03,1,0,0,0,0,0
672807556,0.0,-0.0,0.146818,0.0,0.997307,0.0,0.0,0.0733433,0.0,0.0,-0.03,1,0,0,0,0,0
672908507,0.0,-0.0,0.146638,0.0,0.997313,0.0,0.0,0.0732532,0.0,0.0,-0.03,1,0,0,0,0,0
673013967,0.0,-0.0,0.146576,0.0,0.997316,0.0,0.0,0.0732224,0.0,0.0,-0.03,1,0,0,0,0,0
673114765,0.0,-0.0,0.14695,0.0,0.997302,0.0,0.0,0.0734091,0.0,0.0,-0.03,1,0,0,0,0,0
673215555,0.0,-0.0,0.147027,0.0,0.997299,0.0,0.0,0.0734471,0.0,0.0,-0.03,1,0,0,0,0,0
673316363,0.0,-0.0,0.146781,0.0,0.997308,0.0,0.0,0.0733245,0.0,0.0,-0.03,1,0,0,0,0,0
673417184,0.0,-0.0,0.146391,0.0,0.997322,0.0,0.0,0.0731302,0.0,0.0,-0.03,1,0,0,0,0,0
673517980,0.0,-0.0,0.146539,0.0,0.997317,0.0,0.0,0.0732042,0.0,0.0,-0.03,1,0,0,0,0,0
673622756,0.0,-0.0,0.146621,0.0,0.997314,0.0,0.0,0.073245,0.0,0.0,-0.03,1,0,0,0,0,0
673723547,0.0,-0.0,0.146408,0.0,0.997322,0.0,0.0,0.0731387,0.0,0.0,-0.03,1,0,0,0,0,0
673824385,0.0,-0.0,0.146222,0.0,0.997329,0.0,0.0,0.0730458,0.0,0.0,-0.03,1,0,0,0,0,0
673925157,0.0,-0.0,0.146638,0.0,0.997313,0.0,0.0,0.0732533,0.0,0.0,-0.03,1,0,0,0,0,0
674025941,0.0,-0.0,0.146204,0.0,0.997329,0.0,0.0,0.0730371,0.0,0.0,-0.03,1,0,0,0,0,0
674126763,0.0,-0.0,0.146166,0.0,0.997331,0.0,0.0,0.0730181,0.0,0.0,-0.03,1,0,0,0,0,0
674231560,0.0,-0.0,0.145788,0.0,0.997344,0.0,0.0,0.0728294,0.0,0.0,-0.03,1,0,0,0,0,0
674332376,0.0,-0.0,0.146381,0.0,0.997323,0.0,0.0,0.0731251,0.0,0.0,-0.03,1,0,0,0,0,0
