timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
76839442,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76931745,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77036280,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77144223,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77232257,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77348243,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77436238,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77545015,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77637069,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77741057,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77849281,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77953091,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78045074,8,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78161108,8,1077.0,1080.0,1077.0,1075.0,1080.0,1077.0,1075.0,1077.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78245072,8,1092.0,1111.0,1093.0,1075.0,1111.0,1092.0,1075.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78353076,8,1091.0,1110.0,1093.0,1075.0,1110.0,1091.0,1075.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78465062,8,1112.0,1154.0,1115.0,1075.0,1154.0,1112.0,1075.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78557038,8,1128.0,1170.0,1131.0,1086.0,1171.0,1127.0,1088.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78669101,8,1142.0,1187.0,1145.0,1104.0,1185.0,1144.0,1102.0,1147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78761502,8,1160.0,1205.0,1163.0,1121.0,1204.0,1161.0,1120.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78857321,8,1160.0,1204.0,1163.0,1120.0,1203.0,1161.0,1119.0,1164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78969106,8,1167.0,1195.0,1171.0,1112.0,1211.0,1152.0,1127.0,1155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79057072,8,1164.0,1201.0,1167.0,1117.0,1208.0,1157.0,1124.0,1162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79169072,8,1178.0,1221.0,1181.0,1138.0,1222.0,1178.0,1138.0,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79277063,8,1200.0,1242.0,1203.0,1159.0,1244.0,1199.0,1160.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79361282,8,1213.0,1251.0,1216.0,1167.0,1256.0,1207.0,1172.0,1210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79481334,8,1236.0,1280.0,1239.0,1197.0,1279.0,1237.0,1196.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79565286,8,1235.0,1282.0,1237.0,1198.0,1278.0,1238.0,1194.0,1241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79673019,8,1235.0,1284.0,1237.0,1200.0,1278.0,1241.0,1195.0,1243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79781032,8,1236.0,1283.0,1238.0,1199.0,1279.0,1240.0,1195.0,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79873004,8,1235.0,1278.0,1238.0,1194.0,1279.0,1235.0,1195.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79985323,8,1236.0,1273.0,1240.0,1189.0,1280.0,1229.0,1196.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80081021,8,1233.0,1276.0,1236.0,1193.0,1276.0,1233.0,1193.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80189026,8,1231.0,1278.0,1234.0,1195.0,1274.0,1235.0,1191.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80277155,8,1233.0,1276.0,1237.0,1192.0,1277.0,1232.0,1193.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80385295,8,1234.0,1275.0,1237.0,1191.0,1278.0,1232.0,1193.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80493018,8,1231.0,1279.0,1234.0,1195.0,1274.0,1235.0,1190.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80597340,8,1229.0,1280.0,1233.0,1196.0,1273.0,1236.0,1189.0,1240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80684999,8,1232.0,1275.0,1235.0,1191.0,1276.0,1231.0,1191.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80797072,8,1234.0,1273.0,1238.0,1189.0,1278.0,1229.0,1194.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80889035,8,1231.0,1276.0,1234.0,1192.0,1275.0,1232.0,1191.0,1235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80997007,8,1231.0,1272.0,1234.0,1189.0,1274.0,1229.0,1191.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81089115,8,1230.0,1273.0,1234.0,1189.0,1274.0,1229.0,1190.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81197015,8,1228.0,1274.0,1231.0,1191.0,1271.0,1231.0,1188.0,1234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81309119,8,1238.0,1282.0,1241.0,1199.0,1281.0,1239.0,1198.0,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81400999,8,1241.0,1277.0,1246.0,1192.0,1286.0,1232.0,1201.0,1236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81489055,8,1262.0,1310.0,1266.0,1226.0,1306.0,1266.0,1223.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81601046,8,1296.0,1343.0,1299.0,1256.0,1341.0,1298.0,1254.0,1302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81709048,8,1294.0,1333.0,1298.0,1243.0,1341.0,1286.0,1251.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81801032,8,1292.0,1337.0,1295.0,1246.0,1339.0,1290.0,1248.0,1293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81909100,8,1306.0,1361.0,1310.0,1267.0,1355.0,1312.0,1261.0,1316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82017030,8,1310.0,1360.0,1311.0,1265.0,1358.0,1312.0,1263.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82109375,8,1309.0,1364.0,1313.0,1267.0,1360.0,1314.0,1262.0,1317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82217368,8,1321.0,1376.0,1324.0,1276.0,1373.0,1325.0,1273.0,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82321151,8,1346.0,1400.0,1353.0,1294.0,1403.0,1343.0,1296.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82409024,8,1343.0,1404.0,1345.0,1301.0,1396.0,1352.0,1292.0,1353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82525287,8,1378.0,1432.0,1387.0,1323.0,1437.0,1373.0,1328.0,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82613338,8,1382.0,1442.0,1387.0,1329.0,1441.0,1383.0,1328.0,1388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82729105,8,1379.0,1443.0,1383.0,1337.0,1434.0,1388.0,1328.0,1392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82821013,8,1396.0,1447.0,1399.0,1338.0,1452.0,1391.0,1343.0,1394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82913018,8,1407.0,1478.0,1415.0,1361.0,1469.0,1415.0,1352.0,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83021043,8,1427.0,1465.0,1415.0,1367.0,1470.0,1422.0,1372.0,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83129102,8,1447.0,1460.0,1408.0,1380.0,1468.0,1439.0,1388.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83221010,8,1471.0,1489.0,1429.0,1418.0,1486.0,1474.0,1415.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83329097,8,1473.0,1477.0,1421.0,1432.0,1469.0,1480.0,1424.0,1429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83433098,8,1454.0,1466.0,1443.0,1440.0,1461.0,1459.0,1436.0,1447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83529089,8,1460.0,1425.0,1429.0,1485.0,1414.0,1470.0,1474.0,1439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83637094,8,1424.0,1439.0,1447.0,1493.0,1409.0,1454.0,1463.0,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83729496,8,1378.0,1497.0,1496.0,1431.0,1470.0,1405.0,1404.0,1524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83841067,8,1494.0,1475.0,1394.0,1454.0,1455.0,1514.0,1434.0,1414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83933098,8,1486.0,1448.0,1420.0,1502.0,1426.0,1508.0,1480.0,1442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84045056,8,1454.0,1515.0,1502.0,1486.0,1493.0,1476.0,1464.0,1525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84137034,8,1449.0,1453.0,1526.0,1534.0,1447.0,1456.0,1528.0,1532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84249058,8,1502.0,1462.0,1481.0,1523.0,1461.0,1503.0,1522.0,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84337040,8,1523.0,1520.0,1458.0,1468.0,1517.0,1526.0,1464.0,1462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
