timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
299144039,0.194406,-0.011282,0.483439
299159201,0.19367,-0.0111378,0.481971
299172995,0.195142,-0.0148885,0.487841
299188996,0.194995,-0.0131574,0.483585
299205098,0.190431,-0.00738705,0.480504
299220995,0.19367,-0.0153212,0.482705
299237089,0.191609,-0.0121476,0.482852
299252993,0.192639,-0.00911815,0.480064
299268039,0.198528,-0.00868537,0.482265
299282997,0.19735,-0.010705,0.485786
299298239,0.193081,-0.0138787,0.481678
299312993,0.195731,-0.0138787,0.484613
299329149,0.196172,-0.0111378,0.480504
299345003,0.194111,-0.0114263,0.489161
299360993,0.195142,-0.0131574,0.474928
299377068,0.199411,-0.00998369,0.477863
299392050,0.197644,-0.0127246,0.47977
299407507,0.193228,-0.011859,0.476836
299423172,0.197497,-0.0105607,0.484319
299438389,0.19632,-0.0128689,0.482998
299454290,0.191756,-0.0148885,0.484026
299468993,0.19367,-0.0174851,0.484026
299484993,0.196025,-0.0143114,0.481825
299501044,0.197056,-0.0124361,0.47889
299517061,0.197644,-0.0128689,0.479477
299533009,0.199853,-0.0111378,0.476396
299548993,0.198675,-0.00998369,0.482705
299565045,0.199853,-0.00955092,0.472434
299580036,0.196761,-0.00767557,0.479624
299594995,0.197792,-0.00998369,0.481531
299610239,0.197939,-0.00983944,0.480651
299625005,0.194553,-0.0117148,0.47977
299641096,0.191462,-0.011282,0.481238
299657000,0.196025,-0.0130131,0.481091
299672993,0.192198,-0.0133016,0.481531
299688993,0.19838,-0.0111378,0.479917
299704993,0.192051,-0.0147442,0.481384
299720993,0.191609,-0.0125803,0.47801
299737090,0.188959,-0.0164753,0.484613
299752995,0.19367,-0.015754,0.476689
299768006,0.189401,-0.0133016,0.479477
299783107,0.192198,-0.0125803,0.479477
299798243,0.190284,-0.00796408,0.482265
299813009,0.191609,-0.0104165,0.482118
299828067,0.192934,-0.0114263,0.479477
299843154,0.196908,-0.0150327,0.47933
299858254,0.1947,-0.0144557,0.476249
299873044,0.193817,-0.0140229,0.473167
299887996,0.197056,-0.0148885,0.475809
299903125,0.195142,-0.0109935,0.473167
299918304,0.194847,-0.00854112,0.473461
299934239,0.196467,-0.0137344,0.476689
299949045,0.197939,-0.011282,0.480504
299966287,0.194259,-0.0117148,0.479624
299981997,0.193964,-0.00955092,0.476689
299997068,0.192639,-0.00854112,0.474928
300012993,0.192051,-0.00882963,0.472287
300029001,0.19632,-0.011282,0.480357
300045005,0.200589,-0.00810834,0.483732
300060995,0.19367,-0.0102722,0.477129
300077088,0.193817,-0.0138787,0.479477
300093056,0.195436,-0.00983944,0.480211
300108993,0.195878,-0.0117148,0.47977
300124993,0.197497,-0.0127246,0.483145
300140036,0.194553,-0.00882963,0.47845
300155007,0.194111,-0.0102722,0.479917
300170298,0.191903,-0.0144557,0.483732
300185005,0.195584,-0.0130131,0.480944
300201048,0.196467,-0.0131574,0.486667
300217070,0.192492,-0.0104165,0.47845
300232995,0.194847,-0.0092624,0.479477
300248049,0.190726,-0.00738705,0.47977
300263340,0.196614,-0.0105607,0.484172
300278250,0.196172,-0.00998369,0.482412
300293059,0.193228,-0.0114263,0.47977
300308995,0.191903,-0.0158983,0.476249
300325046,0.1947,-0.0138787,0.477423
300340993,0.195584,-0.0134459,0.480651
300357071,0.197056,-0.0154655,0.485053
300373012,0.194995,-0.0161868,0.47977
300388039,0.200147,-0.011859,0.484466
300403000,0.196025,-0.00983944,0.48652
300418252,0.195878,-0.0114263,0.485199
300433004,0.199558,-0.010128,0.481825
300448045,0.19632,-0.00955092,0.484466
300463140,0.200441,-0.0105607,0.476836
300478254,0.199411,-0.00738705,0.479183
300494249,0.200294,-0.00623299,0.478303
300508993,0.200147,-0.00738705,0.481091
300525004,0.196761,-0.00940666,0.475955
300540995,0.196172,-0.0128689,0.47933
300557001,0.193375,-0.00983944,0.475515
300573036,0.195731,-0.0117148,0.478303
300588993,0.194259,-0.0111378,0.473021
300605056,0.196614,-0.00882963,0.476396
300621006,0.191903,-0.00940666,0.480651
300636217,0.194406,-0.00969518,0.483145
300651005,0.193964,-0.0144557,0.483292
300666256,0.194995,-0.0111378,0.48608
300681046,0.196025,-0.011859,0.485786
300697061,0.195731,-0.0128689,0.480944
300712011,0.193375,-0.0135901,0.488574
300727095,0.195584,-0.0125803,0.48564
300742248,0.198528,-0.00652151,0.487547
