timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1745950351,40.8102088828,-77.8706222381,342.064,-0.0,0.223115,0.0334538,0.0159201,0.202805,3.9898,5.04851,0.0,2,0,0,0
1746150404,40.8102092831,-77.8706233782,342.06,-0.0,0.227314,-0.00149016,0.0184482,0.2029,3.99212,5.05288,0.0,2,0,0,0
1746350442,40.8102095943,-77.8706247564,342.044,-0.0,0.22881,-0.0403325,0.0227685,0.202924,3.9949,5.0466,0.0,2,0,0,0
1746551959,40.8102099109,-77.8706263072,342.019,-0.0,0.230532,-0.0810139,0.0291715,0.202922,3.99767,5.05087,0.0,2,0,0,0
1746756251,40.8102102535,-77.87062798,341.996,-0.0,0.233749,-0.122209,0.0342166,0.202859,4.0009,5.05547,0.0,2,0,0,0
1746957180,40.8102106897,-77.8706298192,341.969,-0.0,0.240153,-0.166125,0.0410694,0.202659,4.00487,5.04894,0.0,2,0,0,0
1747161556,40.8102113481,-77.8706316,341.943,-0.0,0.252478,-0.205285,0.046112,0.202472,4.01041,5.05367,0.0,2,0,0,0
1747361664,40.8102121302,-77.8706330144,341.919,-0.0,0.268336,-0.233573,0.0497642,0.202358,4.01699,5.04736,0.0,2,0,0,0
1747565597,40.8102130221,-77.8706341875,341.893,-0.0,0.286709,-0.254613,0.0531681,0.202328,4.0253,5.05191,0.0,2,0,0,0
1747769602,40.8102139395,-77.870635268,341.874,-0.0,0.303227,-0.274609,0.0544005,0.202165,4.03516,5.05696,0.0,2,0,0,0
1747973575,40.810214733,-77.8706364151,341.879,-0.0,0.313622,-0.297545,0.05243,0.20139,4.04213,5.05019,0.0,2,0,0,0
1748173558,40.8102153428,-77.8706375927,341.881,-0.0,0.32386,-0.316721,0.0533878,0.202005,4.05037,5.05487,0.0,2,0,0,0
1748373549,40.8102157535,-77.8706387735,341.874,-0.0,0.326703,-0.332055,0.0540636,0.201851,4.05981,5.04828,0.0,2,0,0,0
1748577635,40.8102162735,-77.8706399065,341.86,-0.0,0.332584,-0.352328,0.0573785,0.201995,4.06912,5.05302,0.0,2,0,0,0
1748781546,40.8102171182,-77.8706408356,341.847,-0.0,0.344029,-0.366175,0.0580638,0.201564,4.07718,5.05789,0.0,2,0,0,0
1748985584,40.8102180499,-77.8706415977,341.852,-0.0,0.358413,-0.373951,0.0552278,0.202472,4.08588,5.0511,0.0,2,0,0,0
1749185579,40.8102189531,-77.8706422262,341.853,-0.0,0.370277,-0.376412,0.0530073,0.202458,4.09268,5.05581,0.0,2,0,0,0
1749389574,40.8102199903,-77.8706429584,341.879,-0.0,0.387944,-0.38334,0.0480763,0.202587,4.09604,5.04886,0.0,2,0,0,0
1749593723,40.8102208415,-77.870643561,341.952,-0.0,0.395874,-0.385988,0.0332865,0.202592,4.10029,5.0535,0.0,2,0,0,0
