timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
1973813057,1559240640199529,408102394,-778706487,345190,310750,1.531,0.750792,4.769,9.299,0.88,1.4,102,13,1.402,-1.398,0.112,-0.589,2.7533,0,3,1,13
1974003373,1559240640399529,408102373,-778706490,345263,310822,1.571,0.730941,4.789,9.325,0.88,1.55,102,5,1.459,-1.457,0.068,-0.752,2.92863,0,3,1,12
1974202179,1559240640599529,408102352,-778706493,345334,310894,1.614,0.759523,4.813,9.357,0.88,1.55,102,5,1.491,-1.49,0.071,-0.84,3.00821,0,3,1,12
1974402135,1559240640799529,408102330,-778706497,345406,310965,1.636,0.728239,4.839,9.392,0.89,1.71,102,5,1.507,-1.506,0.042,-0.865,3.06335,0,3,1,11
1974602111,1559240640999530,408102308,-778706500,345529,311088,1.732,0.735786,4.871,9.432,0.95,1.68,102,5,1.493,-1.491,0.062,-0.954,3.08151,0,3,1,11
1974803043,1559240641199529,408102287,-778706504,345569,311129,1.992,0.751916,4.919,9.478,0.95,1.68,102,5,1.503,-1.502,0.047,-0.883,3.09546,0,3,1,11
1974992751,1559240641399529,408102267,-778706509,345626,311186,2.168,0.751995,4.989,9.546,0.94,1.51,88,6,1.426,-1.421,-0.109,-0.824,3.09546,0,3,1,12
1975209318,1559240641599529,408102245,-778706512,345749,311309,2.565,0.752088,5.097,9.625,0.89,1.57,88,6,1.522,-1.507,-0.211,-0.46,3.09546,0,3,1,12
1975402174,1559240641799529,408102233,-778706510,345732,311291,2.675,0.752186,5.232,9.71,0.88,1.4,88,6,1.273,-1.271,0.062,0.103,3.09546,0,3,1,13
1975600195,1559240641999530,408102219,-778706507,345824,311383,2.835,0.752289,5.391,9.799,0.88,1.4,88,6,1.082,-1.073,0.139,-0.067,3.09546,0,3,1,13
1975805515,1559240642199529,408102200,-778706521,345794,311354,2.624,0.752385,5.568,9.893,0.88,1.4,88,6,1.357,-1.191,-0.649,0.141,3.09546,0,3,1,13
1976009868,1559240642399529,408102206,-778706531,345803,311362,2.349,0.75247,5.741,9.983,0.88,1.4,88,5,0.735,-0.605,-0.417,0.236,3.09546,0,3,1,13
1976208035,1559240642599529,408102212,-778706536,345566,311125,1.862,0.752538,5.917,10.076,0.88,1.4,88,5,0.491,-0.463,-0.164,0.582,3.09546,0,3,1,13
1976393052,1559240642799529,408102196,-778706536,345502,311061,2.079,0.752614,6.078,10.169,0.88,1.4,88,5,0.77,-0.769,0.034,0.634,3.09546,0,3,1,13
1976602199,1559240642999530,408102215,-778706535,345460,311019,1.321,0.752662,6.212,10.261,0.88,1.4,88,5,0.096,-0.085,0.043,0.521,3.09546,0,3,1,13
