timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2676310071,390.3,24.34,96724.0,1.14924
2676811993,390.3,24.34,96724.0,1.14924
2677314999,390.215,24.34,96725.0,1.14925
2677829369,390.128,24.34,96726.0,1.14926
2678331993,390.387,24.34,96723.0,1.14923
2678835012,390.474,24.34,96722.0,1.14922
2679348994,390.128,24.35,96726.0,1.14926
2679851993,390.387,24.35,96723.0,1.14923
2680354425,390.128,24.35,96726.0,1.14926
2680869016,389.869,24.35,96729.0,1.1493
2681372993,390.215,24.35,96725.0,1.14925
2682395396,391.338,24.36,96712.0,1.1491
2682895993,390.043,24.36,96727.0,1.14928
2683397996,390.648,24.36,96720.0,1.14919
2683914258,390.907,24.35,96717.0,1.14916
2684417558,390.128,24.35,96726.0,1.14926
2684922257,390.3,24.35,96724.0,1.14924
2685436481,390.907,24.33,96717.0,1.14916
2685941148,391.166,24.33,96714.0,1.14912
2686445297,391.859,24.33,96706.0,1.14903
2686958045,392.205,24.32,96702.0,1.14898
2687459713,391.943,24.32,96705.0,1.14902
2687963919,392.377,24.32,96700.0,1.14896
2688478131,392.464,24.32,96699.0,1.14894
2688981299,392.118,24.32,96703.0,1.14899
2689482559,392.81,24.32,96695.0,1.1489
2689994104,391.943,24.34,96705.0,1.14902
